id,titulo,preco,preco_original,desconto,vendedor,reputacao_vendedor,condicao,frete_gratis,link,imagem_url,localizacao,vendas,media_avaliacoes,total_avaliacoes,entrega,marca,data_coleta,nome_produto_detalhado,condicao_produto_detalhada,descricao_produto,preco_detalhado,desconto_detalhado,frete_gratis_detalhado,tempo_entrega,nome_loja,vendas_loja,vendas_produto,devolucao_gratis,compra_garantida,tempo_garantia,caracteristicas_principais,fotos_produto,avaliacao,outros_dados,timestamp_extracao_detalhada,tem_dados_detalhados,total_reviews,rating_medio,rating_5_estrelas,rating_4_estrelas,rating_3_estrelas,rating_2_estrelas,rating_1_estrela,tem_reviews,reviews_com_texto,reviews_com_imagens,cobertura_texto_reviews,tamanho_medio_review,avaliacoes_positivas,avaliacoes_negativas,avaliacoes_neutras,metodo_coleta_reviews,qualidade_extracao_detalhada,metodo_extracao_detalhada,score_qualidade_detalhes,tamanho_resposta_bytes,status_resposta_http
MLB37141763,Cartucho De Tinta Hp 667 Cor Preto Do 2 Ml,"R$ 64,21",R$ 71,,N/A,,,True,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-667-cor-preto-do-2-ml/p/MLB37141763#polycard_client=search-nordic&search_layout=grid&position=3&type=product&tracking_id=1face359-053e-48aa-bd60-9051ae4d772f&wid=MLB4164477091&sid=search,N/A (imagens desabilitadas),,,4.8,7399,Frete grátis,N/A,2025-09-26T21:49:27.435321,,,,,,,,,,,,,,,,,,,False,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,nao_coletado,nao_realizada,nao_realizada,0,0,0
MLB36772792,Cartucho De Tinta Hp 662 Preto Advantage,"R$ 64,68",R$ 71,,HP,,,True,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-662-preto-advantage/p/MLB36772792#polycard_client=search-nordic&search_layout=grid&position=4&type=product&tracking_id=1face359-053e-48aa-bd60-9051ae4d772f&wid=MLB3888681729&sid=search,N/A (imagens desabilitadas),,,4.7,1755,Frete grátis,N/A,2025-09-26T21:49:27.435321,,,,,,,,,,,,,,,,,,,False,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,nao_coletado,nao_realizada,nao_realizada,0,0,0
MLB39134548,Kit Cartucho Hp 662 Preto E Colorido,R$ 159,N/A,,N/A,,,True,https://www.mercadolivre.com.br/kit-cartucho-hp-662-preto-e-colorido/p/MLB39134548#polycard_client=search-nordic&search_layout=grid&position=5&type=product&tracking_id=1face359-053e-48aa-bd60-9051ae4d772f&wid=MLB5157747842&sid=search,N/A (imagens desabilitadas),,,4.6,160,Chegará grátis amanhã sábado,N/A,2025-09-26T21:49:27.435321,,,,,,,,,,,,,,,,,,,False,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,nao_coletado,nao_realizada,nao_realizada,0,0,0
MLB22304579,Cartucho De Tinta Hp 712 Amarelo Pluk 29ml 3ed69a Wespetec,R$ 229,N/A,,N/A,,,True,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-712-amarelo-pluk-29ml-3ed69a-wespetec/p/MLB22304579#polycard_client=search-nordic&search_layout=grid&position=6&type=product&tracking_id=1face359-053e-48aa-bd60-9051ae4d772f&wid=MLB5046799182&sid=search,N/A (imagens desabilitadas),,,5.0,19,Chegará grátis amanhã sábado,N/A,2025-09-26T21:49:27.435321,,,,,,,,,,,,,,,,,,,False,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,nao_coletado,nao_realizada,nao_realizada,0,0,0
MLB22270168,Cartucho Tinta Hp 964 9020 9010 Preto 3ja53al,R$ 219,N/A,,N/A,,,True,https://www.mercadolivre.com.br/cartucho-tinta-hp-964-9020-9010-preto-3ja53al/p/MLB22270168#polycard_client=search-nordic&search_layout=grid&position=7&type=product&tracking_id=1face359-053e-48aa-bd60-9051ae4d772f&wid=MLB4706659634&sid=search,N/A (imagens desabilitadas),,,4.8,24,Chegará grátis amanhã sábado,N/A,2025-09-26T21:49:27.435321,,,,,,,,,,,,,,,,,,,False,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,nao_coletado,nao_realizada,nao_realizada,0,0,0
