id,titulo,preco,preco_original,desconto,vendedor,reputacao_vendedor,condicao,frete_gratis,link,imagem_url,localizacao,vendas,media_avaliacoes,total_avaliacoes,entrega,marca,data_coleta,nome_produto_detalhado,condicao_produto_detalhada,descricao_produto,preco_detalhado,desconto_detalhado,frete_gratis_detalhado,tempo_entrega,nome_loja,vendas_loja,vendas_produto,devolucao_gratis,compra_garantida,tempo_garantia,caracteristicas_principais,fotos_produto,avaliacao,outros_dados,timestamp_extracao_detalhada,tem_dados_detalhados,total_reviews,rating_medio,rating_5_estrelas,rating_4_estrelas,rating_3_estrelas,rating_2_estrelas,rating_1_estrela,tem_reviews,reviews_com_texto,reviews_com_imagens,cobertura_texto_reviews,tamanho_medio_review,avaliacoes_positivas,avaliacoes_negativas,avaliacoes_neutras,metodo_coleta_reviews,qualidade_extracao_detalhada,metodo_extracao_detalhada,score_qualidade_detalhes,tamanho_resposta_bytes,status_resposta_http
MLB37141763,Cartucho De Tinta Hp 667 Cor Preto Do 2 Ml,"R$ 63,90",N/A,,N/A,,,True,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-667-cor-preto-do-2-ml/p/MLB37141763#polycard_client=search-nordic&search_layout=grid&position=3&type=product&tracking_id=5085c60c-077a-4e2d-930b-6238daab7260&wid=MLB3713375243&sid=search,N/A (imagens desabilitadas),,,4.8,7399,Frete grátis,N/A,2025-09-26T21:52:11.808147,Cartucho De Tinta Hp 667 Cor Preto Do 2 Ml,Novo,Unidades por embalagem: 1. | Conteúdo total em volume: 2 mL. | Cor da tinta: Preto. | Unidades por kit: 1. | Formato de venda: Unidade. | Cartucho do tipo original. | Rendimentos 120 páginas,BRL 63.9,Sem desconto,Não,Consultar no site,OBERO INFORMATICA,,100000,Sim,Sim,30 dias,,"https://http2.mlstatic.com/D_NQ_NP_886903-MLA87439311815_072025-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Rating: 4.8, Count: 7399, Reviews: 1256",seller_id: 676710281; reputation_level: 5_green; power_seller_status: platinum; brand: HP; sku: MLB37141763; product_id: MLB37141763,2025-09-26T21:52:05.566400,True,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,nao_coletado,excelente,spider_scrapy,100.0,678863,200
MLB36751629,Cartucho de tinta preta HP Advantage 664 de 2 ml,"R$ 65,73",R$ 78,,Eshop,,,True,https://www.mercadolivre.com.br/cartucho-de-tinta-preta-hp-advantage-664-de-2-ml/p/MLB36751629#polycard_client=search-nordic&search_layout=grid&position=4&type=product&tracking_id=5085c60c-077a-4e2d-930b-6238daab7260&wid=MLB4198173329&sid=search,N/A (imagens desabilitadas),,,4.7,4923,Frete grátis,N/A,2025-09-26T21:52:11.808147,Cartucho de tinta preta HP Advantage 664 de 2 ml,Novo,Cartucho de tinta preta de 2 mL. | Rendimento aproximado de 100 páginas. | Não é recarregável.,BRL 65.73,Sem desconto,Não,Consultar no site,Eshop,,100000,Sim,Sim,30 dias,,"https://http2.mlstatic.com/D_NQ_NP_901486-MLA82666700555_022025-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Rating: 4.7, Count: 4923, Reviews: 856",seller_id: 1737442603; reputation_level: 5_green; power_seller_status: platinum; brand: HP; sku: MLB36751629; product_id: MLB36751629,2025-09-26T21:52:09.123889,True,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,nao_coletado,excelente,spider_scrapy,100.0,692320,200
