title,link,price,seller,condition,site_code,preco,avaliacao_media,ratio_5_to_1,estrelas_5,estrelas_1
Título não encontrado,https://www.mercadolivre.com.br/kit-cartucho-hp-664-preto-e-hp-664-colorido/p/MLB36751072#polycard_client=search-nordic&searchVariation=MLB36751072&wid=MLB3946889845&position=15&search_layout=grid&type=product&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,154,4.7,0,0,0
Título não encontrado,https://www.mercadolivre.com.br/recarga-de-cartucho-667-667xl-compativel-com-impressora-hp-2874-2800-series-com-manual-de-instrucoes-e-snap-fill/p/MLB45258948#polycard_client=search-nordic&searchVariation=MLB45258948&wid=MLB5248644320&position=5&search_layout=grid&type=product&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,59,4.8,0,0,0
Título não encontrado,https://www.mercadolivre.com.br/kit-2-cartuchos-preto-e-colorido-hp-662-para-impressoras-1516-2515-2516-3515-3516-2546-3546-4646/p/MLB36794457#polycard_client=search-nordic&searchVariation=MLB36794457&wid=MLB5261230410&position=6&search_layout=grid&type=product&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,176,4.6,0,0,0
Título não encontrado,https://www.mercadolivre.com.br/recarga-de-cartucho-preto-inkcor-100-ml-para-modelos-2874-2774-2676-3636-2700-2600-2800-mg2910-mg2410-cartuchos-667-664-662-901-60-92-667xl-664xl-662xl-74-21-144-54-140/p/MLB32973774#polycard_client=search-nordic&searchVariation=MLB32973774&wid=MLB3596314497&position=17&search_layout=grid&type=product&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,29,4.6,0,0,0
Título não encontrado,https://www.mercadolivre.com.br/cartucho-tinta-hp-t120-711-cz132b-amarelo-29ml/p/MLB24120710#polycard_client=search-nordic&searchVariation=MLB24120710&wid=MLB4754923072&position=10&search_layout=grid&type=product&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,282,4.5,0,0,0
Título não encontrado,https://produto.mercadolivre.com.br/MLB-1950809319-tinta-hp-compativel-recarga-cartucho-667-664-662-snap-fill-_JM#polycard_client=search-nordic&position=45&search_layout=grid&type=item&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&wid=MLB1950809319&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,52,4.6,0,0,0
Título não encontrado,https://www.mercadolivre.com.br/cartucho-compativel-com-hp-45-51645al-black/p/MLB22534707#polycard_client=search-nordic&searchVariation=MLB22534707&wid=MLB3896469705&position=3&search_layout=grid&type=product&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,128,5.0,0,0,0
Título não encontrado,https://produto.mercadolivre.com.br/MLB-5163093844-kit-recarga-cartucho-tinta-compativel-com-hp-2874-2774-667-_JM#polycard_client=search-nordic&position=46&search_layout=grid&type=item&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&wid=MLB5163093844&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,53,4.6,0,0,0
Título não encontrado,https://www.mercadolivre.com.br/cartucho-de-tinta-ciano-hp-728-f9j67a-130-ml/p/MLB36795594#polycard_client=search-nordic&searchVariation=MLB36795594&wid=MLB4036428831&position=26&search_layout=grid&type=product&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,500,0.0,0,0,0
Título não encontrado,https://www.mercadolivre.com.br/refil-tinta-recarga-de-cartucho-impressora-compativel-com-cartuchos-hp-e-canon-modelos-667-664-662-901-60-74-92-44-140-145-tintas-corante-inkcor/p/MLB44798861#polycard_client=search-nordic&searchVariation=MLB44798861&wid=MLB5225502510&position=20&search_layout=grid&type=product&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,59,4.8,0,0,0
Título não encontrado,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-tricolor-667/p/MLB36752162#polycard_client=search-nordic&searchVariation=MLB36752162&wid=MLB4032333523&position=16&search_layout=grid&type=product&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,63,4.7,0,0,0
Título não encontrado,https://www.mercadolivre.com.br/refil-de-tinta-recarga-de-cartucho-de-impressora-compativel-hp-2874-2774-2676-2050-f4480-c4480-3516-3000-3600-cartuchos-60-901-667-664-662-92-74-cor-preta-marca-inkcor-c-500ml/p/MLB44669914#polycard_client=search-nordic&searchVariation=MLB44669914&wid=MLB5219036372&position=22&search_layout=grid&type=product&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,45,4.7,0,0,0
Título não encontrado,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-662-preto-advantage/p/MLB36772792#polycard_client=search-nordic&searchVariation=MLB36772792&wid=MLB4048703243&position=14&search_layout=grid&type=product&tracking_id=8ec84dc9-9cfa-4aa1-8156-38edd4f79487&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,57,4.6,0,0,0
