title,link,price,seller,condition,site_code,pagina,lote,index,preco,condicao,vendedor_nome,vendedor_avaliacao,total_avaliacoes,avaliacao_media,estrelas_5,estrelas_4,estrelas_3,estrelas_2,estrelas_1,porcentagem_5_estrelas,porcentagem_4_estrelas,porcentagem_3_estrelas,porcentagem_2_estrelas,porcentagem_1_estrela,ratio_5_to_1
Garrafa Térmica Bule Acolher 100% Inox 1l Sanremo Café,https://www.mercadolivre.com.br/garrafa-termica-bule-acolher-100-inox-1l-sanremo-cafe/p/MLB22498776?searchVariation=MLB22498776#polycard_client=search-nordic&searchVariation=MLB22498776&wid=MLB5305947330&position=14&search_layout=grid&type=product&tracking_id=bfaa6532-b87f-4223-9609-f3411463ae91&sid=search,"em 12x R$7,74",Vendedor não especificado,Não especificado,MLB,1,1,25,"R$ 78,99",Novo  |  +5mil vendidos,Loja oficialEstrela do Lar,MercadoLíder Platinum,925.0,4.5,737,77,42,15,54,79.68,8.32,4.54,1.62,5.84,13.648148148148149
"Garrafa Térmica Inox Resistente 1,4l Chimarrão Cha Cor Azul",https://produto.mercadolivre.com.br/MLB-3918800423-garrafa-termica-inox-resistente-14l-chimarro-cha-cor-azul-_JM?searchVariation=182341006378#polycard_client=search-nordic&searchVariation=182341006378&position=45&search_layout=grid&type=item&tracking_id=bfaa6532-b87f-4223-9609-f3411463ae91,"em 12x R$12,31",Vendedor não especificado,Não especificado,MLB,1,1,26,"R$ 125,55",Novo  |  +25 vendidos,PHG_DISTRIBUIDORA,+100Vendas concluídas,4.0,4.8,3,1,0,0,0,75.0,25.0,0.0,0.0,0.0,inf
Garrafão Térmico 5 Litros Mantém Gelado Quente Preto E Amarelo Trilha Camping Supertermo Termolar,https://www.mercadolivre.com.br/garrafo-termico-5-litros-mantem-gelado-quente-preto-e-amarelo-trilha-camping-supertermo-termolar/p/MLB42805282?searchVariation=MLB42805282#polycard_client=search-nordic&searchVariation=MLB42805282&wid=MLB5369214172&position=15&search_layout=grid&type=product&tracking_id=bfaa6532-b87f-4223-9609-f3411463ae91&sid=search,"em 12x R$3,22",Vendedor não especificado,Não especificado,MLB,1,1,27,"R$ 32,89",Novo  |  +10mil vendidos,Vendido porBAZAREBRINQUEDOS,Avaliação não disponível,5.0,4.7,5,0,0,0,0,82.83,9.98,3.91,1.1,2.17,inf
Vittak Garrafa Térmica Café 1 Litro Nórdica Cabo Madeira Mesa Posta Cor Branca,https://www.mercadolivre.com.br/vittak-garrafa-termica-cafe-1-litro-nordica-cabo-madeira-mesa-posta-cor-branca/p/MLB37448089?searchVariation=MLB37448089#polycard_client=search-nordic&searchVariation=MLB37448089&wid=MLB3888935387&position=16&search_layout=grid&type=product&tracking_id=bfaa6532-b87f-4223-9609-f3411463ae91&sid=search,"em 12x R$4,76",Vendedor não especificado,Não especificado,MLB,1,1,28,"R$ 48,61",Novo  |  +1000 vendidos,Loja oficialEletroFlex,MercadoLíder Platinum,610.0,4.6,494,44,28,13,31,80.98,7.21,4.59,2.13,5.08,15.935483870967742
Garrafa Térmica Café 1 Litro Luxo Vintage Retro,https://produto.mercadolivre.com.br/MLB-5350825194-garrafa-termica-cafe-1-litro-luxo-vintage-retro-_JM?searchVariation=183355566502#polycard_client=search-nordic&searchVariation=183355566502&position=46&search_layout=grid&type=item&tracking_id=bfaa6532-b87f-4223-9609-f3411463ae91,"em 12x R$7,35",Vendedor não especificado,Não especificado,MLB,1,1,29,"R$ 74,95",Novo  |  +5 vendidos,EDSHOPCOMERCIOLTDA,+100Vendas concluídas,,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Garrafa Térmica Stanley Flip Straw Hidratação 887ml Azul,https://www.mercadolivre.com.br/garrafa-termica-stanley-flip-straw-hidrataco-887ml-azul/p/MLB46399710?searchVariation=MLB46399710#polycard_client=search-nordic&searchVariation=MLB46399710&wid=MLB5351060170&position=17&search_layout=grid&type=product&tracking_id=bfaa6532-b87f-4223-9609-f3411463ae91&sid=search,"em 12x R$27,28",Vendedor não especificado,Não especificado,MLB,1,1,30,R$ 279,Novo  |  +25 vendidos,Loja oficialMercado Livre,MercadoLíder Platinum,,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1200ml Garrafa Térmica Bebidas Quentes E Frias Garrafas de água para desporto e fitness Cor Verde-musgo,https://www.mercadolivre.com.br/1200ml-garrafa-termica-bebidas-quentes-e-frias-garrafas-de-agua-para-desporto-e-fitness-cor-verde-musgo/p/MLB37475752?searchVariation=MLB37475752#polycard_client=search-nordic&searchVariation=MLB37475752&wid=MLB4024389711&position=18&search_layout=grid&type=product&tracking_id=bfaa6532-b87f-4223-9609-f3411463ae91&sid=search,"em 12x R$5,81",Vendedor não especificado,Não especificado,MLB,1,1,31,"R$ 59,28",Novo  |  +1000 vendidos,Vendido porHJE202406,MercadoLíder Platinum,961.0,4.8,864,52,13,7,25,89.91,5.41,1.35,0.73,2.6,34.56
Garrafa Térmica Classic Stanley - 950 Ml Cor Hammertone Gree Cor Hammertone green,https://www.mercadolivre.com.br/garrafa-termica-classic-stanley-950-ml-cor-hammertone-gree-cor-hammertone-green/p/MLB36006952?searchVariation=MLB36006952#polycard_client=search-nordic&searchVariation=MLB36006952&wid=MLB5342881916&position=19&search_layout=grid&type=product&tracking_id=bfaa6532-b87f-4223-9609-f3411463ae91&sid=search,"em 12x R$19,60",Vendedor não especificado,Não especificado,MLB,1,1,32,"R$ 199,90",Novo  |  +1000 vendidos,Vendido porBRAVIUM,MercadoLíder Platinum,244.0,4.7,217,9,6,2,10,88.93,3.69,2.46,0.82,4.1,21.7
Tubo De Sucção Garrafa Térmica Chacal Reposição,https://produto.mercadolivre.com.br/MLB-5347139250-tubo-de-succo-garrafa-termica-chacal-reposico-_JM?searchVariation=187492400023#polycard_client=search-nordic&searchVariation=187492400023&position=47&search_layout=grid&type=item&tracking_id=bfaa6532-b87f-4223-9609-f3411463ae91,"em 12x R$3,91",Vendedor não especificado,Não especificado,MLB,1,1,33,"R$ 39,92",Novo  |  +5 vendidos,BR GROW,+1000Vendas concluídas,,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Garrafa Térmica De 1 Litro Quick Press Samba Emsa Preta Cor Preto,https://www.mercadolivre.com.br/garrafa-termica-de-1-litro-quick-press-samba-emsa-preta-cor-preto/p/MLB20359461?searchVariation=MLB20359461#polycard_client=search-nordic&searchVariation=MLB20359461&wid=MLB3057908692&position=20&search_layout=grid&type=product&tracking_id=bfaa6532-b87f-4223-9609-f3411463ae91&sid=search,"em 12x R$24,67",Vendedor não especificado,Não especificado,MLB,1,1,34,"R$ 252,30",Novo  |  +100 vendidos,Loja oficialMagazine Rufino,MercadoLíder Platinum,40.0,4.9,39,0,0,0,1,97.5,0.0,0.0,0.0,2.5,39.0
