index,title,preco,condicao,vendedor_nome,vendedor_avaliacao,avaliacao_media,total_avaliacoes,site_code,estrelas_5,estrelas_4,estrelas_3,estrelas_2,estrelas_1,porcentagem_5_estrelas,porcentagem_4_estrelas,porcentagem_3_estrelas,porcentagem_2_estrelas,porcentagem_1_estrela,ratio_5_to_1,link
1,Tinta Hp Compatível Recarga Cartucho 667 664 662 + Snap Fill,"R$ 48,91",Novo  |  +1000 vendidos,SHOPCIDA,+1000Vendas concluídas,"4,6","255,0",MLB,205,29,9,1,11,"80,4","11,4","3,5","0,4","4,3","18,6",https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=KolZfLCWgGsiFlxm8BoYfm%2B9IjWv5dWStPVpdrLUOAMitm2evypkCLMtE6p%2FSNPy9dulSteMOdnXbVgbFb2SPy8bJKPaABCiTsSzlT1EGHzj0vXAiutsL4WbOz9%2Bgeq5rjaqPSdzIl9UcjNklAtaAhZ45RaOsLn8oA1gtkZRen9EjojXfyhGF0kyn4ZlUffWQOEYEuVSCOZpPlNYicCW3qgWMxD%2BSjSFnSH1DtL%2BN%2FZlomyki1McD1IFnwCA%2FoQ0kvT7u3ed%2FD6u72rTDX0RTR1ZO820OdDYR3geNg2XfcLP9uh9yl5AhGNtczAc2x6sJ0Z%2BeDBzRaX6lNxJhqMMr2tbnbGsT8%2Fsiu42Ee1uhzmIfmvHpPbMqqDJU5U2ZL983HgaPH%2BDZh0%2BZyqEGE6YLGKnkXPlayumVfd4RYGdxGyq0sCr7hp4p1RKNQmoEK5igXgrb1vfqu7I8qmcVae7c5mz60IoPeTgzTVBdm4WYKIlfplwVfu3kLrA4ELOh8NVP1c2Je%2BCVFRWNsfTpoJxZ7rri0cwF7RqpyGZM%2FGjVndMvKAm9yCPCv0cFq3nQitBxCCtGOS3SH32NDGvqv7wFsxKThUqKqr9tEKrBBz9xo5%2FdNRW8zw5dXc3a5GYivFtRasylbTMbY5V4dcj5BYWCsInPpsyeACbPGMWeiuIM2Mrj%2FTHWmmJCkWeKnR0%2BaGyLDq0Xd%2Fw9M9%2BGOwe1W50jPwJ5I5VSNcGvT5HS3K8HdOEVsXI4coikex4cm79KvNCLcYMEVGzk9VAhQhN0gtLtQj4oTPOHcc%3D#polycard_client=search-nordic&tracking_id=fea39030-a6b3-4802-8498-43cee6509119&wid=MLB1950809319&sid=search
2,Kit Recarga Cartucho Tinta Compatível Com Hp 2874 2774 667,"R$ 48,05",Novo  |  +500 vendidos,RECYCLEPRINT,+5milVendas concluídas,"4,6","115,0",MLB,89,15,7,0,4,"77,4","13,0","6,1","0,0","3,5","22,2",https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=TN%2F9I3ul0RpOnYM%2FQtzZsZjBGfNspANJi3FoNuk1xVs3e%2BZv9MmAGNmPgT%2FgRSl3nNUHTnKkUtK%2FaC4uF5F7rRfYSWEfDzicwl6gOa%2FeAcFkwiCUTm9gXjWEcMSRlTJkVszRQORQ4o%2B6ntxFTzYO3hzSD2tj%2FV%2Bd5Ssu0%2FghLGnZK3fhu%2FUGpB3bo0TMOe7yYOuaiv4FHsv%2Bm4FmtdIqTKitStil%2BM7QIw9htGftko24uqgOjHAf%2BEKDF4CfEdSRXsEhZ1sF2btGAkp6StaUZEmBcBrbrsp2eZsNYh7qS%2BMd7o4GIl04VHGrEfsOfaFCflXDSS9atSdtUKGFg78n2cqrEFCcLbwggwm9y2A2R226Mj9PkDFQ%2FMXQNJyV5UNmjj1YUdbmciHlsEONVCSL8eQJIZU6S5pv4%2FGkTmX3EgzqbGoyZDr2GFrZLhpUudEVQya%2BRu11ifxgsxxsZRr%2F80OmyaTVUNWzFbh5usDVl2qTS%2BdaqsGS03eforTxoYgAkkrDQkHK3wwWArUpJk9cqX7mdQEzyzGYgfDSumouYYeF%2Fw84KPSaSAwZcjq%2FBviNnfKEchU3RbRFOJ58HjuqAg5PwGzB9LWT6hNsR0jlW64cgmdfqhmKvafeuYDqndvKCC5Ewc%2F5lI05kG5umIkkfntdJYU3FBPV%2BKwLJIhJVx1Dh6V6Q2FQPPQ9OkKWisriALlfGCBFTCDL%2BKOr6cS8Sb1r7OU30d2ItbBwGgHPBZLYt6GiPGMnrUNU0cSXsDdMJJLXqghTIgvg7LP7pADnhZE0Zt%2B7sTI%3D#polycard_client=search-nordic&tracking_id=fea39030-a6b3-4802-8498-43cee6509119&wid=MLB5163093844&sid=search
3,Kit 4 Cartucho Compatível 670xl Advantag 3525 4615 4625 5525,R$ 41,Novo  |  +1000 vendidos,Vendido porATACADAO1TONER,MercadoLíder Gold,"4,7","164,0",MLB,131,19,10,2,2,"79,9","11,6","6,1","1,2","1,2","65,5",https://www.mercadolivre.com.br/kit-4-cartucho-compativel-670xl-advantag-3525-4615-4625-5525/p/MLB24113448#polycard_client=search-nordic&searchVariation=MLB24113448&wid=MLB4027358811&position=3&search_layout=grid&type=product&tracking_id=fea39030-a6b3-4802-8498-43cee6509119&sid=search
4,Recarga Cartucho Compativel Impressora Hp 2874 2774 2676 2700 3516 2050 Cartuchos 667 664 662 901 60 92 74 Canon Mg 2410 2910 3510 3010 44 54 140 141 145 146 210 211 Kit Com 60ml De Tinta De Cada Cor,"R$ 41,74",Novo  |  +100 vendidos,Loja oficialInkcor,MercadoLíder,"4,5","42,0",MLB,34,4,0,0,4,"81,0","9,5","0,0","0,0","9,5","8,5",https://www.mercadolivre.com.br/recarga-cartucho-compativel-impressora-hp-2874-2774-2676-2700-3516-2050-cartuchos-667-664-662-901-60-92-74-canon-mg-2410-2910-3510-3010-44-54-140-141-145-146-210-211-kit-com-60ml-de-tinta-de-cada-cor/p/MLB44668909#polycard_client=search-nordic&searchVariation=MLB44668909&wid=MLB3931902033&position=8&search_layout=grid&type=product&tracking_id=fea39030-a6b3-4802-8498-43cee6509119&sid=search
5,Cartucho Hp 954xl Amarelo L0s68ab 20ml,"R$ 249,90",Novo  |  +500 vendidos,Vendido porCASAPRINT SPEED,MercadoLíder Platinum,"4,9","19,0",MLB,17,2,0,0,0,"89,5","10,5","0,0","0,0","0,0",inf,https://www.mercadolivre.com.br/cartucho-hp-954xl-amarelo-l0s68ab-20ml/p/MLB36750339#polycard_client=search-nordic&searchVariation=MLB36750339&wid=MLB3776108935&position=12&search_layout=grid&type=product&tracking_id=fea39030-a6b3-4802-8498-43cee6509119&sid=search
6,Recarga Cartucho Para Hp Impressora 2874 2774 2776 667 667xl,"R$ 46,89",Novo,SHOPCIDA,+1000Vendas concluídas,"0,0",,MLB,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0",https://produto.mercadolivre.com.br/MLB-5368986674-recarga-cartucho-para-hp-impressora-2874-2774-2776-667-667xl-_JM#polycard_client=search-nordic&position=43&search_layout=grid&type=item&tracking_id=fea39030-a6b3-4802-8498-43cee6509119&wid=MLB5368986674&sid=search
7,Cartucho de tinta preta HP Advantage 664 de 2 ml,"R$ 66,90",Novo  |  +100mil vendidos,Vendido porOBERO INFORMATICA,MercadoLíder Platinum,"4,7","2,0",MLB,2,0,0,0,0,"86,9","7,2","2,1","0,6","3,2",inf,https://www.mercadolivre.com.br/cartucho-de-tinta-preta-hp-advantage-664-de-2-ml/p/MLB36751629#polycard_client=search-nordic&searchVariation=MLB36751629&wid=MLB3866554217&position=28&search_layout=grid&type=product&tracking_id=fea39030-a6b3-4802-8498-43cee6509119&sid=search
8,Kit Recarga Cartucho Impressora Compativel Hp 2774 2874 Cartuchos 667 667xl Tinta Inkcor - Acompanha Manual De Instruções Com Acesso A Videos Tutoriais Completos E Exclusivos,"R$ 53,31",Novo  |  +100 vendidos,Loja oficialInkcor,MercadoLíder Gold,"4,5","21,0",MLB,16,2,1,1,1,"76,2","9,5","4,8","4,8","4,8","16,0",https://www.mercadolivre.com.br/kit-recarga-cartucho-impressora-compativel-hp-2774-2874-cartuchos-667-667xl-tinta-inkcor-acompanha-manual-de-instrucoes-com-acesso-a-videos-tutoriais-completos-e-exclusivos/p/MLB44668607#polycard_client=search-nordic&searchVariation=MLB44668607&wid=MLB5219028986&position=37&search_layout=grid&type=product&tracking_id=fea39030-a6b3-4802-8498-43cee6509119&sid=search
9,Cartucho De Tinta Hp 667 Cor Preto Do 2 Ml,"R$ 59,17",Novo  |  +100mil vendidos,Vendido porJRWIMPORTACAO,Avaliação não disponível,"4,8","3,0",MLB,3,0,0,0,0,"86,9","7,3","2,6","0,7","2,5",inf,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-667-cor-preto-do-2-ml/p/MLB37141763#polycard_client=search-nordic&searchVariation=MLB37141763&wid=MLB4032345907&position=20&search_layout=grid&type=product&tracking_id=fea39030-a6b3-4802-8498-43cee6509119&sid=search
10,Refil De Tinta Recarga De Cartucho Compativel Impressora Hp 2874 2774 2676 2050 F4480 F4180 3516 3050 3636 2800 2700 2600 3600 2775 Cartuchos 60 901 667 664 662 92 74 Cor Preta Tintas Inkcor Com 500ml,"R$ 39,02",Novo  |  +1000 vendidos,Loja oficialInkcor,MercadoLíder Gold,"0,0",,MLB,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0",https://www.mercadolivre.com.br/refil-de-tinta-recarga-de-cartucho-compativel-impressora-hp-2874-2774-2676-2050-f4480-f4180-3516-3050-3636-2800-2700-2600-3600-2775-cartuchos-60-901-667-664-662-92-74-cor-preta-tintas-inkcor-com-500ml/p/MLB48943976#polycard_client=search-nordic&searchVariation=MLB48943976&wid=MLB5370580964&position=42&search_layout=grid&type=product&tracking_id=fea39030-a6b3-4802-8498-43cee6509119&sid=search
