index,title,preco,condicao,vendedor_nome,vendedor_avaliacao,avaliacao_media,total_avaliacoes,site_code,estrelas_5,estrelas_4,estrelas_3,estrelas_2,estrelas_1,porcentagem_5_estrelas,porcentagem_4_estrelas,porcentagem_3_estrelas,porcentagem_2_estrelas,porcentagem_1_estrela,ratio_5_to_1,link
11,Kit Cartucho Hp 664 Preto E Hp 664 Colorido,R$ 147,Novo  |  +50mil vendidos,Vendido porSCOTCH,MercadoLíder Gold,"4,7","2,0",MLB,2,0,0,0,0,"86,9","7,2","2,1","0,6","3,2",inf,https://www.mercadolivre.com.br/kit-cartucho-hp-664-preto-e-hp-664-colorido/p/MLB36751072#polycard_client=search-nordic&searchVariation=MLB36751072&wid=MLB3946889845&position=38&search_layout=grid&type=product&tracking_id=fea39030-a6b3-4802-8498-43cee6509119&sid=search
12,Recarga De Cartucho 667 667xl Compatível Com Impressora Hp 2874 2800 Séries Com Manual De Instruções E Snap Fill,"R$ 53,31",Novo  |  +100 vendidos,Loja oficialInkcor,MercadoLíder Gold,"4,8","21,0",MLB,17,3,1,0,0,"81,0","14,3","4,8","0,0","0,0",inf,https://www.mercadolivre.com.br/recarga-de-cartucho-667-667xl-compativel-com-impressora-hp-2874-2800-series-com-manual-de-instrucoes-e-snap-fill/p/MLB45258948#polycard_client=search-nordic&searchVariation=MLB45258948&wid=MLB5248617526&position=23&search_layout=grid&type=product&tracking_id=fea39030-a6b3-4802-8498-43cee6509119&sid=search
13,Kit 2 cartuchos Preto e Colorido HP 662 para Impressoras 1516 2515 2516 3515 3516 2546 3546 4646,R$ 135,Novo  |  +5mil vendidos,Loja oficialEshop,MercadoLíder Platinum,"4,6","352,0",MLB,293,23,15,4,17,"83,2","6,5","4,3","1,1","4,8","17,2",https://www.mercadolivre.com.br/kit-2-cartuchos-preto-e-colorido-hp-662-para-impressoras-1516-2515-2516-3515-3516-2546-3546-4646/p/MLB36794457#polycard_client=search-nordic&searchVariation=MLB36794457&wid=MLB5261230410&position=24&search_layout=grid&type=product&tracking_id=fea39030-a6b3-4802-8498-43cee6509119&sid=search
14,Recarga De Cartucho Preto Inkcor 100 ml Para Modelos 2874 2774 2676 3636 2700 2600 2800 MG2910 MG2410 Cartuchos 667 664 662 901 60 92 667xl 664xl 662xl 74 21 144 54 140,"R$ 25,82",Novo  |  +500 vendidos,Loja oficialInkcor,MercadoLíder,"4,6","88,0",MLB,70,11,2,1,4,"79,5","12,5","2,3","1,1","4,5","17,5",https://www.mercadolivre.com.br/recarga-de-cartucho-preto-inkcor-100-ml-para-modelos-2874-2774-2676-3636-2700-2600-2800-mg2910-mg2410-cartuchos-667-664-662-901-60-92-667xl-664xl-662xl-74-21-144-54-140/p/MLB32973774#polycard_client=search-nordic&searchVariation=MLB32973774&wid=MLB3596314497&position=39&search_layout=grid&type=product&tracking_id=fea39030-a6b3-4802-8498-43cee6509119&sid=search
15,Cartucho Tinta Hp T120 711 Cz132b Amarelo 29ml,"R$ 282,50",Novo  |  +500 vendidos,Vendido porLUIZCPSB,MercadoLíder,"4,5","26,0",MLB,23,0,0,0,3,"88,5","0,0","0,0","0,0","11,5","7,7",https://www.mercadolivre.com.br/cartucho-tinta-hp-t120-711-cz132b-amarelo-29ml/p/MLB24120710#polycard_client=search-nordic&searchVariation=MLB24120710&wid=MLB4754923072&position=40&search_layout=grid&type=product&tracking_id=fea39030-a6b3-4802-8498-43cee6509119&sid=search
16,Tinta Hp Compatível Recarga Cartucho 667 664 662 + Snap Fill,"R$ 48,91",Novo  |  +1000 vendidos,SHOPCIDA,+1000Vendas concluídas,"4,6","255,0",MLB,205,29,9,1,11,"80,4","11,4","3,5","0,4","4,3","18,6",https://produto.mercadolivre.com.br/MLB-1950809319-tinta-hp-compativel-recarga-cartucho-667-664-662-snap-fill-_JM#polycard_client=search-nordic&position=44&search_layout=grid&type=item&tracking_id=fea39030-a6b3-4802-8498-43cee6509119&wid=MLB1950809319&sid=search
17,Cartucho Compatível Com Hp 45 51645al Black,R$ 128,Novo  |  +100 vendidos,Vendido porCASAPRINT SPEED,MercadoLíder Platinum,"5,0","1,0",MLB,1,0,0,0,0,"100,0","0,0","0,0","0,0","0,0",inf,https://www.mercadolivre.com.br/cartucho-compativel-com-hp-45-51645al-black/p/MLB22534707#polycard_client=search-nordic&searchVariation=MLB22534707&wid=MLB3896469705&position=36&search_layout=grid&type=product&tracking_id=fea39030-a6b3-4802-8498-43cee6509119&sid=search
18,Refil Tinta Recarga De Cartucho Impressora Compatível Com Cartuchos Hp E Canon Modelos 667 664 662 901 60 74 92 44 140 145 Tintas Corante Inkcor,"R$ 56,52",Novo  |  +100 vendidos,Loja oficialInkcor,MercadoLíder Gold,"4,8","32,0",MLB,26,4,2,0,0,"81,2","12,5","6,2","0,0","0,0",inf,https://www.mercadolivre.com.br/refil-tinta-recarga-de-cartucho-impressora-compativel-com-cartuchos-hp-e-canon-modelos-667-664-662-901-60-74-92-44-140-145-tintas-corante-inkcor/p/MLB44798861#polycard_client=search-nordic&searchVariation=MLB44798861&wid=MLB5225502510&position=30&search_layout=grid&type=product&tracking_id=fea39030-a6b3-4802-8498-43cee6509119&sid=search
19,Cartucho de tinta ciano HP 728 F9j67a 130 ml,"R$ 723,90",Novo  |  +50 vendidos,Loja oficialTec Print,MercadoLíder Platinum,"0,0",,MLB,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0",https://www.mercadolivre.com.br/cartucho-de-tinta-ciano-hp-728-f9j67a-130-ml/p/MLB36795594#polycard_client=search-nordic&searchVariation=MLB36795594&wid=MLB3911535983&position=4&search_layout=grid&type=product&tracking_id=fea39030-a6b3-4802-8498-43cee6509119&sid=search
20,Kit Recarga Cartucho Tinta Compatível Com Hp 2874 2774 667,"R$ 48,05",Novo  |  +500 vendidos,RECYCLEPRINT,+5milVendas concluídas,"4,6","115,0",MLB,89,15,7,0,4,"77,4","13,0","6,1","0,0","3,5","22,2",https://produto.mercadolivre.com.br/MLB-5163093844-kit-recarga-cartucho-tinta-compativel-com-hp-2874-2774-667-_JM#polycard_client=search-nordic&position=45&search_layout=grid&type=item&tracking_id=fea39030-a6b3-4802-8498-43cee6509119&wid=MLB5163093844&sid=search
21,Cartucho De Tinta Hp Tricolor 667,"R$ 63,40",Novo  |  +10mil vendidos,Vendido porJRWIMPORTACAO,Avaliação não disponível,"4,7","1,0",MLB,1,0,0,0,0,"86,1","7,0","2,8","1,1","3,0",inf,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-tricolor-667/p/MLB36752162#polycard_client=search-nordic&searchVariation=MLB36752162&wid=MLB4032333523&position=9&search_layout=grid&type=product&tracking_id=fea39030-a6b3-4802-8498-43cee6509119&sid=search
22,Refil De Tinta Recarga De Cartucho De Impressora Compativel Hp 2874 2774 2676 2050 F4480 C4480 3516 3000 3600 Cartuchos 60 901 667 664 662 92 74 Cor Preta Marca Inkcor C/ 500ml,"R$ 40,85",Novo  |  +500 vendidos,Loja oficialInkcor,MercadoLíder Gold,"4,7","37,0",MLB,32,3,0,0,2,"86,5","8,1","0,0","0,0","5,4","16,0",https://www.mercadolivre.com.br/refil-de-tinta-recarga-de-cartucho-de-impressora-compativel-hp-2874-2774-2676-2050-f4480-c4480-3516-3000-3600-cartuchos-60-901-667-664-662-92-74-cor-preta-marca-inkcor-c-500ml/p/MLB44669914#polycard_client=search-nordic&searchVariation=MLB44669914&wid=MLB5219036372&position=26&search_layout=grid&type=product&tracking_id=fea39030-a6b3-4802-8498-43cee6509119&sid=search
23,Cartucho de tinta preta original HP 964xl de alto rendimento,"R$ 339,90",Novo  |  +1000 vendidos,Vendido porLUIZCPSB,MercadoLíder,"4,6","18,0",MLB,13,4,0,0,1,"72,2","22,2","0,0","0,0","5,6","13,0",https://www.mercadolivre.com.br/cartucho-de-tinta-preta-original-hp-964xl-de-alto-rendimento/p/MLB22298817#polycard_client=search-nordic&searchVariation=MLB22298817&wid=MLB3707067777&position=32&search_layout=grid&type=product&tracking_id=fea39030-a6b3-4802-8498-43cee6509119&sid=search
24,Refil Recarga Cartucho 667 667xl Compatível Impressora Hp Ink Advantage 2774 2700 Com Manual De Instruções Inkcor Com Passo-a-passo Em Vídeo E Snap Fill,"R$ 53,31",Novo  |  +100 vendidos,Loja oficialInkcor,MercadoLíder Gold,"4,9","8,0",MLB,7,1,0,0,0,"87,5","12,5","0,0","0,0","0,0",inf,https://www.mercadolivre.com.br/refil-recarga-cartucho-667-667xl-compativel-impressora-hp-ink-advantage-2774-2700-com-manual-de-instrucoes-inkcor-com-passo-a-passo-em-video-e-snap-fill/p/MLB45423126#polycard_client=search-nordic&searchVariation=MLB45423126&wid=MLB3951054461&position=16&search_layout=grid&type=product&tracking_id=fea39030-a6b3-4802-8498-43cee6509119&sid=search
25,Cartucho de Tinta HP 954XL Preto 42.5 ml,"R$ 399,94",Novo  |  +1000 vendidos,Loja oficialTec Print,MercadoLíder Platinum,"4,4","7,0",MLB,4,2,1,0,0,"57,1","28,6","14,3","0,0","0,0",inf,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-954xl-preto-425-ml/p/MLB36750739#polycard_client=search-nordic&searchVariation=MLB36750739&wid=MLB5269240948&position=13&search_layout=grid&type=product&tracking_id=fea39030-a6b3-4802-8498-43cee6509119&sid=search
26,Kit Tinta Recarga Cartucho Compativel Impressora Hp 2874 2774 2700 2600 Para Cartuchos 667 667xl 664 664xl 662 662xl Com Manual De Instruções E Snap Fill,"R$ 53,31",Novo  |  +500 vendidos,Loja oficialInkcor,MercadoLíder,"4,6","47,0",MLB,40,2,1,0,4,"85,1","4,3","2,1","0,0","8,5","10,0",https://www.mercadolivre.com.br/kit-tinta-recarga-cartucho-compativel-impressora-hp-2874-2774-2700-2600-para-cartuchos-667-667xl-664-664xl-662-662xl-com-manual-de-instrucoes-e-snap-fill/p/MLB44953768#polycard_client=search-nordic&searchVariation=MLB44953768&wid=MLB5230136348&position=18&search_layout=grid&type=product&tracking_id=fea39030-a6b3-4802-8498-43cee6509119&sid=search
27,Kit Cartucho Hp 662 Preto E Colorido,R$ 159,Novo  |  +1000 vendidos,Vendido porVANMASTERCOMERCIO,MercadoLíder Platinum,"4,6","75,0",MLB,61,5,4,2,3,"81,3","6,7","5,3","2,7","4,0","20,3",https://www.mercadolivre.com.br/kit-cartucho-hp-662-preto-e-colorido/p/MLB39134548#polycard_client=search-nordic&searchVariation=MLB39134548&wid=MLB5157747842&position=5&search_layout=grid&type=product&tracking_id=fea39030-a6b3-4802-8498-43cee6509119&sid=search
28,Kit Recarga Cartucho Preto com 100 Ml Compativel Impressora HP 2774 2874 2676 Canon MP3510 MP2410 Tinta Corante Inkcor,"R$ 21,27",Novo  |  +100 vendidos,Loja oficialInkcor,MercadoLíder,"4,8","13,0",MLB,11,2,0,0,0,"84,6","15,4","0,0","0,0","0,0",inf,https://www.mercadolivre.com.br/kit-recarga-cartucho-preto-com-100-ml-compativel-impressora-hp-2774-2874-2676-canon-mp3510-mp2410-tinta-corante-inkcor/p/MLB43923451#polycard_client=search-nordic&searchVariation=MLB43923451&wid=MLB5196206800&position=19&search_layout=grid&type=product&tracking_id=fea39030-a6b3-4802-8498-43cee6509119&sid=search
29,Cartucho Tinta Hp 964 9010 9020 Magenta 3ja51al,R$ 164,Novo  |  +500 vendidos,Vendido porOBERO INFORMATICA,MercadoLíder Platinum,"4,7","7,0",MLB,6,0,1,0,0,"85,7","0,0","14,3","0,0","0,0",inf,https://www.mercadolivre.com.br/cartucho-tinta-hp-964-9010-9020-magenta-3ja51al/p/MLB23137032#polycard_client=search-nordic&searchVariation=MLB23137032&wid=MLB5085328996&position=14&search_layout=grid&type=product&tracking_id=fea39030-a6b3-4802-8498-43cee6509119&sid=search
30,Kit Inkcor Recarga Cartucho Compativel Impressoras 2874 2774 2676 2700 2600 2800 3516 3050 2050 Cartuchos 667 664 662 901 60 92 667xl 664xl 662xl 74 21,"R$ 53,31",Novo  |  +100 vendidos,Loja oficialInkcor,MercadoLíder Gold,"4,5","30,0",MLB,26,0,1,0,3,"86,7","0,0","3,3","0,0","10,0","8,7",https://www.mercadolivre.com.br/kit-inkcor-recarga-cartucho-compativel-impressoras-2874-2774-2676-2700-2600-2800-3516-3050-2050-cartuchos-667-664-662-901-60-92-667xl-664xl-662xl-74-21/p/MLB43919633#polycard_client=search-nordic&searchVariation=MLB43919633&wid=MLB5196203614&position=10&search_layout=grid&type=product&tracking_id=fea39030-a6b3-4802-8498-43cee6509119&sid=search
31,Kit Cartuchos Hp 964xl Preto E Coloridos Originais,R$ 849,Novo  |  +1000 vendidos,Vendido porROBERTO VANTUTI,Avaliação não disponível,"4,8","22,0",MLB,20,1,0,0,1,"90,9","4,5","0,0","0,0","4,5","20,0",https://www.mercadolivre.com.br/kit-cartuchos-hp-964xl-preto-e-coloridos-originais/p/MLB22638338#polycard_client=search-nordic&searchVariation=MLB22638338&wid=MLB3931489439&position=6&search_layout=grid&type=product&tracking_id=fea39030-a6b3-4802-8498-43cee6509119&sid=search
32,Tinta Recarga Compativel Impressora Hp Cartucho 667xl Preto,"R$ 21,27",Novo  |  +10mil vendidos,Inkcor,MercadoLíder Gold,"4,6","1,0",MLB,1,0,0,0,0,"77,1","12,1","5,4","1,4","4,0",inf,https://produto.mercadolivre.com.br/MLB-1925514654-tinta-recarga-compativel-impressora-hp-cartucho-667xl-preto-_JM#polycard_client=search-nordic&position=46&search_layout=grid&type=item&tracking_id=fea39030-a6b3-4802-8498-43cee6509119&wid=MLB1925514654&sid=search
33,Cartucho Hp 954 Jato De Tinta Preto - L0s59ab,R$ 239,Novo  |  +100 vendidos,Vendido porSA20250122140057,Avaliação não disponível,"4,9","12,0",MLB,11,1,0,0,0,"91,7","8,3","0,0","0,0","0,0",inf,https://www.mercadolivre.com.br/cartucho-hp-954-jato-de-tinta-preto-l0s59ab/p/MLB36751401#polycard_client=search-nordic&searchVariation=MLB36751401&wid=MLB5271721524&position=11&search_layout=grid&type=product&tracking_id=fea39030-a6b3-4802-8498-43cee6509119&sid=search
34,Cartucho Tinta Hp 964 9020 9010 Preto 3ja53al,"R$ 239,90",Novo  |  +1000 vendidos,Vendido porMERCADO ALL,MercadoLíder Gold,"4,4","7,0",MLB,6,0,0,0,1,"85,7","0,0","0,0","0,0","14,3","6,0",https://www.mercadolivre.com.br/cartucho-tinta-hp-964-9020-9010-preto-3ja53al/p/MLB22270168#polycard_client=search-nordic&searchVariation=MLB22270168&wid=MLB3871421927&position=15&search_layout=grid&type=product&tracking_id=fea39030-a6b3-4802-8498-43cee6509119&sid=search
35,Kit Cartucho 60 Preto E 60 Color Hp F4280 F4580 C4780 D110a,"R$ 195,99",Novo  |  +500 vendidos,Vendido porMOUSEMOUSE20230412142307,MercadoLíder Gold,"4,8","112,0",MLB,102,5,2,1,2,"91,1","4,5","1,8","0,9","1,8","51,0",https://www.mercadolivre.com.br/kit-cartucho-60-preto-e-60-color-hp-f4280-f4580-c4780-d110a/p/MLB36970133#polycard_client=search-nordic&searchVariation=MLB36970133&wid=MLB3785151963&position=7&search_layout=grid&type=product&tracking_id=fea39030-a6b3-4802-8498-43cee6509119&sid=search
36,Cartucho De Tinta Hp Cartucho De Tinta Cor Preto Do 3 Ml,R$ 183,Novo  |  +1000 vendidos,Vendido porCASAPRINT SPEED,MercadoLíder Platinum,"4,4","7,0",MLB,6,0,0,0,1,"85,7","0,0","0,0","0,0","14,3","6,0",https://www.mercadolivre.com.br/cartucho-de-tinta-hp-cartucho-de-tinta-cor-preto-do-3-ml/p/MLB36772709#polycard_client=search-nordic&searchVariation=MLB36772709&wid=MLB5311617112&position=17&search_layout=grid&type=product&tracking_id=fea39030-a6b3-4802-8498-43cee6509119&sid=search
37,Cartucho Hp 667 Colorido 3ym78ab,"R$ 71,90",Novo  |  +5mil vendidos,Vendido porVANMASTERCOMERCIO,MercadoLíder Platinum,"4,7","1,0",MLB,1,0,0,0,0,"86,0","7,8","2,8","0,4","3,0",inf,https://www.mercadolivre.com.br/cartucho-hp-667-colorido-3ym78ab/p/MLB22658653#polycard_client=search-nordic&searchVariation=MLB22658653&wid=MLB3897978171&position=29&search_layout=grid&type=product&tracking_id=fea39030-a6b3-4802-8498-43cee6509119&sid=search
38,Cartucho Tinta Tricolor 667 Hp,"R$ 73,52",Novo  |  +5mil vendidos,Vendido porSCOTCH,MercadoLíder Gold,"4,7","74,0",MLB,62,7,3,0,2,"83,8","9,5","4,0","0,0","2,7","31,0",https://www.mercadolivre.com.br/cartucho-tinta-tricolor-667-hp/p/MLB22546333#polycard_client=search-nordic&searchVariation=MLB22546333&wid=MLB3947220255&position=21&search_layout=grid&type=product&tracking_id=fea39030-a6b3-4802-8498-43cee6509119&sid=search
39,Cartucho De Tinta Hp 662 Preto Advantage,"R$ 57,67",Novo  |  +10mil vendidos,Vendido porJRWIMPORTACAO,Avaliação não disponível,"4,6","988,0",MLB,795,105,29,8,51,"80,5","10,6","2,9","0,8","5,2","15,6",https://www.mercadolivre.com.br/cartucho-de-tinta-hp-662-preto-advantage/p/MLB36772792#polycard_client=search-nordic&searchVariation=MLB36772792&wid=MLB4043541227&position=27&search_layout=grid&type=product&tracking_id=fea39030-a6b3-4802-8498-43cee6509119&sid=search
40,4 Cartucho P/ 8100 8620 8610 8600w 251dw 8600 251,"R$ 224,91",Novo  |  +100 vendidos,Vendido porGALPAODOTONER,MercadoLíder Gold,"4,0","14,0",MLB,8,2,1,2,1,"57,1","14,3","7,1","14,3","7,1","8,0",https://www.mercadolivre.com.br/4-cartucho-p-8100-8620-8610-8600w-251dw-8600-251/p/MLB39015732#polycard_client=search-nordic&searchVariation=MLB39015732&wid=MLB5177150620&position=33&search_layout=grid&type=product&tracking_id=fea39030-a6b3-4802-8498-43cee6509119&sid=search
