link,nome_produto,vendedor
https://produto.mercadolivre.com.br/MLB-MLB21941637-produto,MLB21941637,
https://produto.mercadolivre.com.br/MLB-MLB22341692-produto,MLB22341692,
https://produto.mercadolivre.com.br/MLB-MLB23448494-produto,MLB23448494,
https://produto.mercadolivre.com.br/MLB-MLB21562564-produto,MLB21562564,
https://produto.mercadolivre.com.br/MLB-MLB29577526-produto,MLB29577526,
https://produto.mercadolivre.com.br/MLB-MLB38714924-produto,MLB38714924,
https://produto.mercadolivre.com.br/MLB-MLB29803698-produto,MLB29803698,
https://produto.mercadolivre.com.br/MLB-MLB25927374-produto,MLB25927374,
https://produto.mercadolivre.com.br/MLB-MLB24427807-produto,MLB24427807,
https://produto.mercadolivre.com.br/MLB-MLB18464310-produto,MLB18464310,
https://produto.mercadolivre.com.br/MLB-MLB6117456-produto,MLB6117456,
https://produto.mercadolivre.com.br/MLB-MLB19588855-produto,MLB19588855,
https://produto.mercadolivre.com.br/MLB-MLB39941471-produto,MLB39941471,
https://produto.mercadolivre.com.br/MLB-MLB24000795-produto,MLB24000795,
https://produto.mercadolivre.com.br/MLB-MLB28529822-produto,MLB28529822,
https://produto.mercadolivre.com.br/MLB-MLB22573015-produto,MLB22573015,
https://produto.mercadolivre.com.br/MLB-MLB32161795-produto,MLB32161795,
https://produto.mercadolivre.com.br/MLB-MLB37652283-produto,MLB37652283,
https://produto.mercadolivre.com.br/MLB-MLB18399855-produto,MLB18399855,
https://produto.mercadolivre.com.br/MLB-MLB27083931-produto,MLB27083931,
