index,title,preco,condicao,vendedor_nome,vendedor_avaliacao,avaliacao_media,total_avaliacoes,pagina,lote,site_code,estrelas_5,estrelas_4,estrelas_3,estrelas_2,estrelas_1,porcentagem_5_estrelas,porcentagem_4_estrelas,porcentagem_3_estrelas,porcentagem_2_estrelas,porcentagem_1_estrela,ratio_5_to_1,link
86,Garrafa Térmica Pressão Magic Pump 500ml Preta,"R$ 54,90",Novo  |  +100 vendidos,Vendido porCordeiro Home,MercadoLíder Platinum,"4,6","38,0",2,2,MLB,27,7,3,0,1,"71,0","18,4","7,9","0,0","2,6","27,0",https://www.mercadolivre.com.br/garrafa-termica-presso-magic-pump-500ml-preta/p/MLB26414618?searchVariation=MLB26414618#polycard_client=search-nordic&searchVariation=MLB26414618&wid=MLB4670711730&position=19&search_layout=grid&type=product&tracking_id=cdfe1a44-1753-4bc2-b23f-24e1d48e0163&sid=search
87,Garrafa Térmica Em Inox Com 3 Xícara Bebidas Quentes E Frias Cor Rosa,"R$ 38,63",Novo  |  +1000 vendidos,Loja oficialEletroFlex,MercadoLíder Platinum,"4,5","759,0",2,2,MLB,588,66,32,26,47,"77,5","8,7","4,2","3,4","6,2","12,5",https://www.mercadolivre.com.br/garrafa-termica-em-inox-com-3-xicara-bebidas-quentes-e-frias-cor-rosa/p/MLB27582977?searchVariation=MLB27582977#polycard_client=search-nordic&searchVariation=MLB27582977&wid=MLB3852777457&position=14&search_layout=grid&type=product&tracking_id=cdfe1a44-1753-4bc2-b23f-24e1d48e0163&sid=search
88,Garrafa Térmica Inox 1 Litro Térmica De Aço Inox Mantém A Bebida Gelada Por 24 Horas E Quente Por 12 Horas Fácil De Carregar Não Vaza Compacte Bonita E Resistente Squeeze,"R$ 48,99",Novo  |  +1000 vendidos,Loja oficialPLUSSMAR,MercadoLíder,"4,8","434,0",2,2,MLB,389,28,8,4,5,"89,6","6,5","1,8","0,9","1,1","77,8",https://www.mercadolivre.com.br/garrafa-termica-inox-1-litro-termica-de-aco-inox-mantem-a-bebida-gelada-por-24-horas-e-quente-por-12-horas-facil-de-carregar-no-vaza-compacte-bonita-e-resistente-squeeze/p/MLB36338378?searchVariation=MLB36338378#polycard_client=search-nordic&searchVariation=MLB36338378&wid=MLB3932216359&position=21&search_layout=grid&type=product&tracking_id=cdfe1a44-1753-4bc2-b23f-24e1d48e0163&sid=search
89,"Garrafa Térmica Resistente 1 Litro Para Café, Chá - Mor Cor Vermelho","R$ 32,18",Novo  |  +1000 vendidos,Vendido porCLICKPEOPLE,MercadoLíder Platinum,"4,7","140,0",2,2,MLB,123,8,3,2,4,"87,9","5,7","2,1","1,4","2,9","30,8",https://www.mercadolivre.com.br/garrafa-termica-resistente-1-litro-para-cafe-cha-mor-cor-vermelho/p/MLB22313473?searchVariation=MLB22313473#polycard_client=search-nordic&searchVariation=MLB22313473&wid=MLB5002903356&position=24&search_layout=grid&type=product&tracking_id=cdfe1a44-1753-4bc2-b23f-24e1d48e0163&sid=search
90,"Garrafa Térmica Esportiva Em Aço Inox, 800ml Parede Dupla","R$ 39,33",Novo  |  3 vendidos,fashiononline2,+1000Vendas concluídas,"0,0",,2,2,MLB,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0",https://produto.mercadolivre.com.br/MLB-5344633016-garrafa-termica-esportiva-em-aco-inox-800ml-parede-dupla-_JM?searchVariation=183315826388#polycard_client=search-nordic&searchVariation=183315826388&position=47&search_layout=grid&type=item&tracking_id=cdfe1a44-1753-4bc2-b23f-24e1d48e0163
91,Garrafa Térmica 4l Revestida Couro Rustica Terere Chima Agua,R$ 272,Novo,Mateyna Terere,+1000Vendas concluídas,"0,0",,2,2,MLB,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0",https://produto.mercadolivre.com.br/MLB-5364493830-garrafa-termica-4l-revestida-couro-rustica-terere-chima-agua-_JM?searchVariation=183438219662#polycard_client=search-nordic&searchVariation=183438219662&position=48&search_layout=grid&type=item&tracking_id=cdfe1a44-1753-4bc2-b23f-24e1d48e0163
92,Garrafa Térmica Nordk Purple N00040 Is The New Black Aço Inox 500ml Cor Roxo,"R$ 59,90",Novo  |  +100 vendidos,Loja oficialKubbo,MercadoLíder Platinum,"4,8","39,0",2,2,MLB,35,3,0,0,1,"89,7","7,7","0,0","0,0","2,6","35,0",https://www.mercadolivre.com.br/garrafa-termica-nordk-purple-n00040-is-the-new-black-aco-inox-500ml-cor-roxo/p/MLB26071485?searchVariation=MLB26071485#polycard_client=search-nordic&searchVariation=MLB26071485&wid=MLB3956520396&position=32&search_layout=grid&type=product&tracking_id=cdfe1a44-1753-4bc2-b23f-24e1d48e0163&sid=search
93,Presente Garrafa Água Disign Sujo Wd-40 Copo Térmico Inox,"R$ 245,10",Novo,SDOFICIAL PLATINUM,+10milVendas concluídas,"0,0",,2,2,MLB,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0",https://produto.mercadolivre.com.br/MLB-4045968091-presente-garrafa-agua-disign-sujo-wd-40-copo-termico-inox-_JM?searchVariation=183483278594#polycard_client=search-nordic&searchVariation=183483278594&position=49&search_layout=grid&type=item&tracking_id=cdfe1a44-1753-4bc2-b23f-24e1d48e0163
94,1200ml Garrafa Térmica Bebidas Quentes E Frias Adequado para desportos ao ar livre e campismo Cor Azul-marinho Genérica 100101,"R$ 59,28",Novo  |  +1000 vendidos,Vendido porHJE202406,MercadoLíder Platinum,"4,8","961,0",2,2,MLB,864,52,13,7,25,"89,9","5,4","1,4","0,7","2,6","34,6",https://www.mercadolivre.com.br/1200ml-garrafa-termica-bebidas-quentes-e-frias-adequado-para-desportos-ao-ar-livre-e-campismo-cor-azul-marinho-generica-100101/p/MLB37890112?searchVariation=MLB37890112#polycard_client=search-nordic&searchVariation=MLB37890112&wid=MLB5318904780&position=26&search_layout=grid&type=product&tracking_id=cdfe1a44-1753-4bc2-b23f-24e1d48e0163&sid=search
95,"Garrafa Térmica 4,0L Chá Água Frio Inox Chacal","R$ 156,90",Novo  |  +1000 vendidos,Vendido porSOMADO STORE,MercadoLíder,"4,7","126,0",2,2,MLB,108,7,3,3,5,"85,7","5,6","2,4","2,4","4,0","21,6",https://www.mercadolivre.com.br/garrafa-termica-40l-cha-agua-frio-inox-chacal/p/MLB22796808?searchVariation=MLB22796808#polycard_client=search-nordic&searchVariation=MLB22796808&wid=MLB5311102770&position=27&search_layout=grid&type=product&tracking_id=cdfe1a44-1753-4bc2-b23f-24e1d48e0163&sid=search
