link,nome_produto,vendedor
https://www.mercadolivre.com.br/notebook-asus-x515-intel-celeron-dual-core-n4500-4gb-ram-128gb-ssd-windows-11-home-tela-156-led-hd-slate-grey-br309ws/p/MLB42489369#polycard_client=search-nordic&searchVariation=MLB42489369&wid=MLB5159712354&position=19&search_layout=grid&type=product&tracking_id=83fdece0-7385-4e49-b192-a48cb8eb2965&sid=search,Produto MLB42489369,Por Asus
https://www.mercadolivre.com.br/notebook-acer-nitro-v15-anv15-51-58az-core-i5-13420h-8gb-512gb-rtx-3050-cor-preto/p/MLB39107224#polycard_client=search-nordic&searchVariation=MLB39107224&wid=MLB5117986194&position=34&search_layout=grid&type=product&tracking_id=83fdece0-7385-4e49-b192-a48cb8eb2965&sid=search,Produto MLB39107224,Por Mercado Livre
https://www.mercadolivre.com.br/notebook-hp-256r-g9-intel-core-i3-1315u-156-hd-intel-uhd-graphics-256gb-ssd-8gb-ram-windows-11-home-64-sl-an1a2laak4/p/MLB42112441#polycard_client=search-nordic&searchVariation=MLB42112441&wid=MLB4013617381&position=26&search_layout=grid&type=product&tracking_id=83fdece0-7385-4e49-b192-a48cb8eb2965&sid=search,Produto MLB42112441,Por HP
https://www.mercadolivre.com.br/notebook-positivo-vision-c15-lumina-bar-celeron-4gb-128gb-emmc-tela-15-hd-antirreflexo-windows-11-tecla-link-cinza/p/MLB26133662#polycard_client=search-nordic&searchVariation=MLB26133662&wid=MLB3932069010&position=25&search_layout=grid&type=product&tracking_id=83fdece0-7385-4e49-b192-a48cb8eb2965&sid=search,Produto MLB26133662,Por Positivo
https://www.mercadolivre.com.br/notebook-asus-vivobook-go-15-e1504fa-amd-ryzen-5-7520u-16gb-ram-512gb-ssd-linux-keepos-tela-156-led-fhd-black-nj1288/p/MLB43417665#polycard_client=search-nordic&searchVariation=MLB43417665&wid=MLB5188779202&position=16&search_layout=grid&type=product&tracking_id=83fdece0-7385-4e49-b192-a48cb8eb2965&sid=search,Produto MLB43417665,Por Asus
https://www.mercadolivre.com.br/notebook-acer-gamer-nitro-v15-intel-core-i7-13-ger-16gb-512ssd-rtx3050-com-6gb-gddr6-nvidia-geforce-linux-gutta-anv15-51-73e9/p/MLB43270072#polycard_client=search-nordic&searchVariation=MLB43270072&wid=MLB5230543338&position=17&search_layout=grid&type=product&tracking_id=83fdece0-7385-4e49-b192-a48cb8eb2965&sid=search,Produto MLB43270072,Por Vikings
https://www.mercadolivre.com.br/notebook-asus-vivobook-go-15-e510ka-intel-celeron-dual-core-n4500-4gb-ram-128gb-emmc-windows-11-home-1560-hd-rosa-br833ws/p/MLB41152234#polycard_client=search-nordic&searchVariation=MLB41152234&wid=MLB5081898918&position=20&search_layout=grid&type=product&tracking_id=83fdece0-7385-4e49-b192-a48cb8eb2965&sid=search,Produto MLB41152234,Por Asus
https://www.mercadolivre.com.br/notebook-hp-256r-g9-intel-core-i5-1335u-156-hd-intel-iris-xe-graphics-256gb-ssd-16gb-ram-windows-11-home-pls-sl-ay6z5laak4/p/MLB45500065#polycard_client=search-nordic&searchVariation=MLB45500065&wid=MLB3952730781&position=15&search_layout=grid&type=product&tracking_id=83fdece0-7385-4e49-b192-a48cb8eb2965&sid=search,Produto MLB45500065,Por HP
https://www.mercadolivre.com.br/notebook-positivo-vision-c15-lumina-bar-celeron-8gb-128gb-emmc-tela-156-hd-antirreflexo-windows-11-tecla-link-cinza/p/MLB37039056#polycard_client=search-nordic&searchVariation=MLB37039056&wid=MLB4710185340&position=22&search_layout=grid&type=product&tracking_id=83fdece0-7385-4e49-b192-a48cb8eb2965&sid=search,Produto MLB37039056,Por Positivo
https://www.mercadolivre.com.br/notebook-acer-aspire-5-a515-45-r36l-ryzen-7-156-radeon-512gb-12gb-linux/p/MLB37756819#polycard_client=search-nordic&searchVariation=MLB37756819&wid=MLB3994857997&position=47&search_layout=grid&type=product&tracking_id=83fdece0-7385-4e49-b192-a48cb8eb2965&sid=search,Produto MLB37756819,Por Mercado Livre
https://www.mercadolivre.com.br/notebook-positivo-vision-c14-lumina-bar-celeron-4gb-128gb-emmc-tela-14-polegadas-hd-antirreflexo-windows-11-tecla-link-cinza/p/MLB26133653#polycard_client=search-nordic&searchVariation=MLB26133653&wid=MLB3571995199&position=31&search_layout=grid&type=product&tracking_id=83fdece0-7385-4e49-b192-a48cb8eb2965&sid=search,Produto MLB26133653,Por Positivo
https://www.mercadolivre.com.br/notebook-acer-aspire-5-a15-51m-54e6-intel-core-i5-13420h-de-13-geraco-8gb-512ssd-windows-11-home-156-full-hd/p/MLB42134393#polycard_client=search-nordic&searchVariation=MLB42134393&wid=MLB5162304560&position=14&search_layout=grid&type=product&tracking_id=83fdece0-7385-4e49-b192-a48cb8eb2965&sid=search,Produto MLB42134393,Por Acer Brasil
https://www.mercadolivre.com.br/notebook-acer-aspire-15-a15-51m-56kr-intel-core-i5-13420h-13-geraco-16-gb-512ssd-156-full-hd/p/MLB43513588#polycard_client=search-nordic&searchVariation=MLB43513588&wid=MLB3916333961&position=45&search_layout=grid&type=product&tracking_id=83fdece0-7385-4e49-b192-a48cb8eb2965&sid=search,Produto MLB43513588,Por Acer Brasil
https://www.mercadolivre.com.br/notebook-asus-vivobook-go-e1504fa-amd-ryzen-5-7520u-8gb-ram-256gb-ssd-windows-11-tela-156-fhd-black-nj825w/p/MLB29126536#polycard_client=search-nordic&searchVariation=MLB29126536&wid=MLB3995128209&position=29&search_layout=grid&type=product&tracking_id=83fdece0-7385-4e49-b192-a48cb8eb2965&sid=search,Produto MLB29126536,Por Asus
https://www.mercadolivre.com.br/notebook-positivo-vision-c14-lumina-bar-celeron-8gb-256gb-emmc-tela-14-polegadas-hd-antirreflexo-linux-tecla-link-cinza/p/MLB38031777#polycard_client=search-nordic&searchVariation=MLB38031777&wid=MLB4025297005&position=33&search_layout=grid&type=product&tracking_id=83fdece0-7385-4e49-b192-a48cb8eb2965&sid=search,Produto MLB38031777,Por Positivo
https://www.mercadolivre.com.br/notebook-acer-gamer-nitro-v15-intel-core-i7-13-ger-32gb-512ssd-rtx3050-com-6gb-gddr6-nvidia-geforce-linux-gutta-anv15-51-73bp/p/MLB43532159#polycard_client=search-nordic&searchVariation=MLB43532159&wid=MLB3914155765&position=32&search_layout=grid&type=product&tracking_id=83fdece0-7385-4e49-b192-a48cb8eb2965&sid=search,Produto MLB43532159,Por Vikings
https://www.mercadolivre.com.br/notebook-asus-vivobook-16-intel-core-i7-1355u-16gb-ram-1tb-ssd-windows-11-home-tela-16-fhd-cool-silver-x1605va-mb764w/p/MLB39368711#polycard_client=search-nordic&searchVariation=MLB39368711&wid=MLB5109682250&position=24&search_layout=grid&type=product&tracking_id=83fdece0-7385-4e49-b192-a48cb8eb2965&sid=search,Produto MLB39368711,Por Mercado Livre
https://www.mercadolivre.com.br/notebook-gamer-acer-nitro-v-anv15-51-57ws-intel-core-i5-13420h-13geraco-512ssd-8gb-nvidia-geforce-rtx-3050-gddr6-linux-gutta-156/p/MLB37396835#polycard_client=search-nordic&searchVariation=MLB37396835&wid=MLB5340508288&position=38&search_layout=grid&type=product&tracking_id=83fdece0-7385-4e49-b192-a48cb8eb2965&sid=search,Produto MLB37396835,Vendedor Mercado Livre
https://www.mercadolivre.com.br/notebook-dell-156-fhd-i5-8gb-512gb-ssd-rtx-3050/p/MLB41533294#polycard_client=search-nordic&searchVariation=MLB41533294&wid=MLB4001524835&position=37&search_layout=grid&type=product&tracking_id=83fdece0-7385-4e49-b192-a48cb8eb2965&sid=search,Produto MLB41533294,Por Mercado Livre
https://www.mercadolivre.com.br/notebook-vaio-fe15-intel-core-i5-11th-16gb-512gb-ssd-tela-156-full-hd-antirreflexo-linux-cinza-grafite-vjfe55f11xb0611h/p/MLB24254458#polycard_client=search-nordic&searchVariation=MLB24254458&wid=MLB5302061402&position=40&search_layout=grid&type=product&tracking_id=83fdece0-7385-4e49-b192-a48cb8eb2965&sid=search,Produto MLB24254458,Vendedor Mercado Livre
https://www.mercadolivre.com.br/notebook-vaio-fe16-amd-ryzen-7-5700u-linux-16gb-512gb-ssd-tela-16-ips-wuxga-antirreflexo-cinza-grafite-vjfe69f11xb0811h/p/MLB46529614#polycard_client=search-nordic&searchVariation=MLB46529614&wid=MLB3999536177&position=46&search_layout=grid&type=product&tracking_id=83fdece0-7385-4e49-b192-a48cb8eb2965&sid=search,Produto MLB46529614,Por Vaio
https://www.mercadolivre.com.br/notebook-asus-vivobook-15-core-i5-1235u-33-ghz-8gb-ram-256gb-ssd-w11-home-tela-156-nanoedge-full-hd-cool-silver-x1504za-nj985w/p/MLB36474790#polycard_client=search-nordic&searchVariation=MLB36474790&wid=MLB4039349031&position=35&search_layout=grid&type=product&tracking_id=83fdece0-7385-4e49-b192-a48cb8eb2965&sid=search,Produto MLB36474790,Vendedor Mercado Livre
https://www.mercadolivre.com.br/notebook-samsung-galaxy-book-go-snapdragon-7c-kryo-468-octa-core-4gb-ram-128gb-ssd-14-full-hd-w11-com-office-365-np340xla-k07br/p/MLB45209382#polycard_client=search-nordic&searchVariation=MLB45209382&wid=MLB5272784844&position=39&search_layout=grid&type=product&tracking_id=83fdece0-7385-4e49-b192-a48cb8eb2965&sid=search,Produto MLB45209382,Vendedor Mercado Livre
https://www.mercadolivre.com.br/notebook-lenovo-ideapad-1-15iau7-intel-core-i7-1255u-hd-156-intel-iris-xe-512gb-ssd-12gb-ram-windows-11-82vy000pbr/p/MLB28574806#polycard_client=search-nordic&searchVariation=MLB28574806&wid=MLB3815867239&position=50&search_layout=grid&type=product&tracking_id=83fdece0-7385-4e49-b192-a48cb8eb2965&sid=search,Produto MLB28574806,Por Carrefour
https://www.mercadolivre.com.br/notebook-lenovo-thinkpad-e14-core-i5-10-ram-8gb-480gb-ssd-cor-preto/p/MLB42665851#polycard_client=search-nordic&searchVariation=MLB42665851&wid=MLB5295582186&position=42&search_layout=grid&type=product&tracking_id=83fdece0-7385-4e49-b192-a48cb8eb2965&sid=search,Produto MLB42665851,Vendedor Mercado Livre
https://www.mercadolivre.com.br/notebook-positivo-vision-r15-lumina-bar-amd-ryzen-5-8gb-256gb-tela-15-polegadas-full-hd-antirreflexo-linux-preto/p/MLB43281003#polycard_client=search-nordic&searchVariation=MLB43281003&wid=MLB4011821577&position=43&search_layout=grid&type=product&tracking_id=83fdece0-7385-4e49-b192-a48cb8eb2965&sid=search,Produto MLB43281003,Por Positivo
https://www.mercadolivre.com.br/notebook-dell-inspiron-i15-i120k-a10p-156-i3-8gb-256gb-w11/p/MLB28728793#polycard_client=search-nordic&searchVariation=MLB28728793&wid=MLB3538478865&position=51&search_layout=grid&type=product&tracking_id=83fdece0-7385-4e49-b192-a48cb8eb2965&sid=search,Produto MLB28728793,Por Mercado Livre
https://www.mercadolivre.com.br/notebook-asus-vivobook-15-x1504za-intel-core-i5-1235u-8gb-ram-512gb-ssd-windows-11-tela-156-fhd-blue-nj987w/p/MLB35662440#polycard_client=search-nordic&searchVariation=MLB35662440&wid=MLB3723302317&position=41&search_layout=grid&type=product&tracking_id=83fdece0-7385-4e49-b192-a48cb8eb2965&sid=search,Produto MLB35662440,Por Fast Shop
https://www.mercadolivre.com.br/notebook-multi-ultra-celeron-n4020c-4gb-128gb-w11-156-cinza-ub261/p/MLB34976193#polycard_client=search-nordic&searchVariation=MLB34976193&wid=MLB4007494279&position=44&search_layout=grid&type=product&tracking_id=83fdece0-7385-4e49-b192-a48cb8eb2965&sid=search,Produto MLB34976193,Por Carrefour
https://www.mercadolivre.com.br/notebook-asus-vivobook-go-e1504ga-intel-core-i3-n305-4gb-ram-256gb-ssd-linux-keepos-tela-156-fhd-silver-nj447/p/MLB35074889#polycard_client=search-nordic&searchVariation=MLB35074889&wid=MLB4575170580&position=49&search_layout=grid&type=product&tracking_id=83fdece0-7385-4e49-b192-a48cb8eb2965&sid=search,Produto MLB35074889,Por Asus
