link,nome_produto,vendedor
https://www.mercadolivre.com.br/notebook-acer-aspire-5-ryzen-7-156-radeon-512gb-8gb-linux/p/MLB37725686#polycard_client=search-nordic&searchVariation=MLB37725686&wid=MLB4798860704&position=18&search_layout=grid&type=product&tracking_id=83fdece0-7385-4e49-b192-a48cb8eb2965&sid=search,Produto MLB37725686,Por Mobcom
https://www.mercadolivre.com.br/notebook-dell-latitude-3420-intel-core-i5-11ger-memoria-ram-16gb-armazenamento-ssd-256gb-windows-11-tela-14/p/MLB48925574#polycard_client=search-nordic&searchVariation=MLB48925574&wid=MLB5368884322&position=27&search_layout=grid&type=product&tracking_id=83fdece0-7385-4e49-b192-a48cb8eb2965&sid=search,Produto MLB48925574,Por 4Show
https://www.mercadolivre.com.br/notebook-lenovo-ideapad-intel-celeron-n4020-4gb-ram-128ssd-windows-11-home-coffice-tela-led-156-cor-cinza-82vx0001br/p/MLB26994223#polycard_client=search-nordic&searchVariation=MLB26994223&wid=MLB5365975572&position=30&search_layout=grid&type=product&tracking_id=83fdece0-7385-4e49-b192-a48cb8eb2965&sid=search,Produto MLB26994223,Vendedor Mercado Livre
https://www.mercadolivre.com.br/notebook-gamer-acer-nitro-v-intel-core-i5-13420h-8gb-ram-512gb-ssd-nvidia-rtx4050-windows-11-home-tela-156-full-hd-anv15-51-54dl/p/MLB37728210#polycard_client=search-nordic&searchVariation=MLB37728210&wid=MLB4844389174&position=36&search_layout=grid&type=product&tracking_id=83fdece0-7385-4e49-b192-a48cb8eb2965&sid=search,Produto MLB37728210,Por Acer Brasil
https://www.mercadolivre.com.br/notebook-dell-inspiron-i15-i120k-a25p-i5-8gb-512gb-156-w11/p/MLB39353557#polycard_client=search-nordic&searchVariation=MLB39353557&wid=MLB5016573914&position=11&search_layout=grid&type=product&tracking_id=83fdece0-7385-4e49-b192-a48cb8eb2965&sid=search,Produto MLB39353557,Por Mercado Livre
https://www.mercadolivre.com.br/notebook-positivo-duo-2-em-1-intel-celeron-c4128b-3-4gb-128gb-116-ips-hd-windows-11/p/MLB24506668#polycard_client=search-nordic&searchVariation=MLB24506668&wid=MLB3831851660&position=7&search_layout=grid&type=product&tracking_id=83fdece0-7385-4e49-b192-a48cb8eb2965&sid=search,Produto MLB24506668,Por Positivo
https://www.mercadolivre.com.br/notebook-gamer-acer-nitro-v-intel-core-i7-13-geraco-16gb-512gb-rtx4050-linux-gutta-156-fhd-anv15-51-7037/p/MLB38470066#polycard_client=search-nordic&searchVariation=MLB38470066&wid=MLB3799483579&position=23&search_layout=grid&type=product&tracking_id=83fdece0-7385-4e49-b192-a48cb8eb2965&sid=search,Produto MLB38470066,Por Acer Brasil
https://www.mercadolivre.com.br/notebook-lenovo-ideapad-1i-intel-core-i5-1235u-8gb-ram-512gb-ssd-windows-11-home-tela-156-hd-82vy000qbr/p/MLB28131262#polycard_client=search-nordic&searchVariation=MLB28131262&wid=MLB3887876641&position=13&search_layout=grid&type=product&tracking_id=83fdece0-7385-4e49-b192-a48cb8eb2965&sid=search,Produto MLB28131262,Vendedor Mercado Livre
https://www.mercadolivre.com.br/notebook-acer-predator-gamer-phn16-71-72w6-i7-13650hx-16gb-512gb-ssd-rtx-4060-windows-11-home-tela-16-wuxga/p/MLB37044220#polycard_client=search-nordic&searchVariation=MLB37044220&wid=MLB3799496337&position=12&search_layout=grid&type=product&tracking_id=83fdece0-7385-4e49-b192-a48cb8eb2965&sid=search,Produto MLB37044220,Por Acer Brasil
https://www.mercadolivre.com.br/notebook-vaio-fe15-intel-core-i5-12th-16gb-512gb-ssd-tela-156-full-hd-antirreflexo-windows-11-home-cinza-grafite-b2621h/p/MLB34164101#polycard_client=search-nordic&searchVariation=MLB34164101&wid=MLB3850031383&position=4&search_layout=grid&type=product&tracking_id=83fdece0-7385-4e49-b192-a48cb8eb2965&sid=search,Produto MLB34164101,Por INPOWER
https://www.mercadolivre.com.br/samsung-galaxy-chromebook-go-intel-celeron-n4500-4gb-32gb-cor-cinza/p/MLB44315456#polycard_client=search-nordic&searchVariation=MLB44315456&wid=MLB5312840778&position=9&search_layout=grid&type=product&tracking_id=83fdece0-7385-4e49-b192-a48cb8eb2965&sid=search,Produto MLB44315456,Por NegociuN
https://www.mercadolivre.com.br/notebook-samsung-galaxy-book4-intel-u300-120-ghz-ate-44ghz-8-mb-l3-cache-windows-11-home-8gb-256gb-ssd-uhd-graphics-156-full-hd-led-155kg/p/MLB40347107#polycard_client=search-nordic&searchVariation=MLB40347107&wid=MLB5194930972&position=10&search_layout=grid&type=product&tracking_id=83fdece0-7385-4e49-b192-a48cb8eb2965&sid=search,Produto MLB40347107,Por Vikings
https://www.mercadolivre.com.br/acer-predator-helios-neo-phn16-72-99my-intel-ci9-14g-32gb-1ssd-rtx4070-w11-cor-preto/p/MLB44296157#polycard_client=search-nordic&searchVariation=MLB44296157&wid=MLB4039270697&position=5&search_layout=grid&type=product&tracking_id=83fdece0-7385-4e49-b192-a48cb8eb2965&sid=search,Produto MLB44296157,Por Acer Brasil
https://www.mercadolivre.com.br/notebook-acer-aspire-5-intel-core-i5-12450h-8gb-ram-256gb-ssd-windows-11-home-tela-156-full-hd-a515-57-55b8/p/MLB27956045#polycard_client=search-nordic&searchVariation=MLB27956045&wid=MLB4281077232&position=8&search_layout=grid&type=product&tracking_id=83fdece0-7385-4e49-b192-a48cb8eb2965&sid=search,Produto MLB27956045,Por Mercado Livre
https://www.mercadolivre.com.br/notebook-acer-aspire-3-intel-core-i3-n305-8g-ram-256gb-ssd-windows-11-home-tela-156-full-hd-a315-510p-34xc-110v220v/p/MLB26816741#polycard_client=search-nordic&searchVariation=MLB26816741&wid=MLB4010277942&position=6&search_layout=grid&type=product&tracking_id=83fdece0-7385-4e49-b192-a48cb8eb2965&sid=search,Produto MLB26816741,Por Mercado Livre
https://www.mercadolivre.com.br/notebook-acer-aspire-5-a515-45-r0xr-ryzen7-8gb-256gb-ssd-156-full-hd-linux-gutta/p/MLB44705562#polycard_client=search-nordic&searchVariation=MLB44705562&wid=MLB5219607374&position=3&search_layout=grid&type=product&tracking_id=83fdece0-7385-4e49-b192-a48cb8eb2965&sid=search,Produto MLB44705562,Por Vikings
https://www.mercadolivre.com.br/notebook-dell-inspiron-i15-i120k-a35p-i5-16gb-1tb-156-w11/p/MLB37650721#polycard_client=search-nordic&searchVariation=MLB37650721&wid=MLB4830712680&position=21&search_layout=grid&type=product&tracking_id=83fdece0-7385-4e49-b192-a48cb8eb2965&sid=search,Produto MLB37650721,Por Mercado Livre
https://www.mercadolivre.com.br/notebook-asus-vivobook-go-15-e1504-amd-ryzen-5-7520u-8gb-ram-256gb-ssd-linux-keepos-156-fhd-black-e1504fa-nj731/p/MLB36772633#polycard_client=search-nordic&searchVariation=MLB36772633&wid=MLB3746267799&position=28&search_layout=grid&type=product&tracking_id=83fdece0-7385-4e49-b192-a48cb8eb2965&sid=search,Produto MLB36772633,Por Mercado Livre
