title,link,price,seller,condition,site_code,total_avaliacoes,preco,avaliacao_media,estrelas_5,estrelas_4,estrelas_3,estrelas_2,estrelas_1,porcentagem_5_estrelas,porcentagem_4_estrelas,porcentagem_3_estrelas,porcentagem_2_estrelas,porcentagem_1_estrela,ratio_5_to_1
Título não encontrado,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=xTkX3trwGxYm9nxD7QsrPXeOus2EbowJQYvZqAV8NsJTdkiD3r%2FvkJ%2Bcx2fNHuiSQ8iOSilRYkujxcgHLAeluaOrqrtSAEFZOa5kXAHy3yTk7e%2Fvyf4I4LEztH1OsyB9Wzm%2BA1wW9k0d3xSF162zZTYe1rGW6gkOKWilO4uKpdIQYNBJuzXnh5JK3d45eWEZJtGis487%2BV9FJ7mbpSKztwAeOZxXT%2BwA9pb9VVd8D5W6Ph2UpveavmYrXjF5A7hv6Cw5JiNoOc8nMFwg8Q9%2BPud5cjoQabioLuk%2BLjBSUvrrSxRADZ4Y9tAzmEUE9v8ETUuFe%2F9F%2FLVCdY9jXC67kHmLfhVGR%2FI8Gh92V2RcTviNW6cUZrmXSxrm6JgSeFcEaVpkss7PKzFBXxwA1w2Rc2Adz2%2FEJpCPHPIsMPatjYW3vkjxmzzqhBjUjabYmOhAI5hpsGWKe3G35JYlB5AfKBLuFOtRC4g1Y4umX2kdbl0lhgcWc703lxYX15N9xObGhCVu9CDIBd9dzsuq6KMYgnBMuMoQMC9PLZMEkSp02Qkp64iV2UOJOioF6rHmcONqZ7mnVGsnxpwf1MWsqXSa45r9SUxjlrswFuKU%2Bshz%2FtO28IJpV%2F1n3HSexYStJzyN8CyfND6RoTrETJbjrFyMkQSSHWIOCQRf%2BStPnXYQHwhCDl786IOjUMb3g3vEJ7XDQmKQ2vzwWxb7b9xZJZSasXMtNAfMKRHxSL%2BsQ%2BMcVd0e6s7FyO8%2B9fnzR%2BZRBkGJdyVG6TSsZMqO%2FakMqGh1ReqfnWHJ6Q%3D%3D#polycard_client=search-nordic&tracking_id=2db5e6a3-a7e3-4655-80dd-4da09cf65fc7&wid=MLB1950809319&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,65,52,4.6,46,13,3,2,1,70,20,5,3,2,46.0
Título não encontrado,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=TKdjPzFMqwKHGdqNI17lqAD2W7b%2B00590S0Ub8G5H8DqPkLSHmEIRgJek5gaEkp13FtE6Jvd%2B2e7OPAFmt7S50B%2BtgUTlLr1EcTxiEDClkYcr4k4doy15GDI7bCJLMVBOEnho%2FZvmgaX0hl5hgjLlbKyW0z%2FNOEdQ9fRhlcnG3m4zenjXa9J%2FGdIRLvNd55OP2XOnLmgM6N0VdhYTpSr2kQ1h5nAK4U4RY91dGTvTKVcTEO2AOm%2F1XiS%2BZtXX3YP5u1YbY1yFQEnPoFkBer3vBnVIsG00pzUccy00ZSU87HGH%2Fdu3dS2L8XfhXKu0PB3HFKTz1bNAPKHU0VApmVPDCWnmkyrl5hXk1ND35sfd2qko%2FtM89heflrwfEF8a31%2BIbijtbDVUBSvP%2FlG1vMBJSNoVmtlc1mqNvVWoqcWRZY%2F9HdZUJSz4pCX9EkGr1WuxW%2BxxLnPU12Wv%2BCULREbVEDhbt7%2FaadrjhUGhij5iEF5CEhZrU5Bv2Pdi70SImPGGhOCaMG4XluSZown8Vqmc7KRlCeRKLAhX9AXAY9Y2vj4cteW4pLBFLrxcOr8es%2Bx2v%2FAT3jfxlvrreZ3S%2B%2BVhaTDJ4NdtKz2x4lR1HBIp3gWeY51yyvnES8sH0CjW6xX6AA92sd0QCarjm67OpZbXdAnusLSa5JOmOy0vxvr152iA6YgeOpDeAq0R0pGtMC1ynPZ%2Bf3JUDKXWqs37xhV3Gjacb7NU2SvsuWfNmHttDxLBUd2%2BRUsMx%2FNiQ3nvlTD1jO2Z%2Btw8ChZ88%2FF7Z87Rl8U2I%2F%2FP4g%3D#polycard_client=search-nordic&tracking_id=2db5e6a3-a7e3-4655-80dd-4da09cf65fc7&wid=MLB5163093844&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,25,53,4.6,18,5,1,1,0,70,20,5,3,2,inf
Título não encontrado,https://www.mercadolivre.com.br/kit-4-cartucho-compativel-670xl-advantag-3525-4615-4625-5525/p/MLB24113448#polycard_client=search-nordic&searchVariation=MLB24113448&wid=MLB3738573695&position=3&search_layout=grid&type=product&tracking_id=2db5e6a3-a7e3-4655-80dd-4da09cf65fc7&sid=search,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,40,41,4.7,28,8,2,1,1,70,20,5,3,2,28.0
