id,titulo,link,preco,preco_original,desconto,vendedor,seller_id,reputation_level,power_seller_status,rating_medio,total_reviews,rating_5_estrelas,rating_4_estrelas,rating_3_estrelas,rating_2_estrelas,rating_1_estrela,tem_reviews,reviews_com_texto,reviews_com_imagens,avaliacoes_positivas,avaliacoes_negativas,avaliacoes_neutras,marca,condicao,descricao_produto,caracteristicas_principais,main_characteristics,other_characteristics,frete_gratis,shipping_mode,tempo_entrega,imagem_url,fotos_produto,product_id,sku,brand,data_coleta,tem_dados_detalhados,qualidade_extracao_detalhada,score_qualidade_detalhes,comentarios_reviews,total_comentarios,comentarios_positivos,comentarios_negativos,comentarios_com_imagens,comentario_mais_curtido,comentario_mais_recente,vendas_loja,vendas_produto,devolucao_gratis,compra_garantida,tempo_garantia,timestamp_extracao_detalhada,metodo_extracao_detalhada,tamanho_resposta_bytes,status_resposta_http,total_reviews_individual,total_reviews_original,tipo_linha
MLB48152766,Kit Cartucho Hp 667 667xl Deskjet 2776 Preto E Color Full,https://www.mercadolivre.com.br/kit-cartucho-hp-667-667xl-deskjet-2776-preto-e-color-full/p/MLB48152766#polycard_client=search-nordic&search_layout=grid&position=3&type=product&tracking_id=8895e6f5-4e90-4638-8272-8bb5a298a335&wid=MLB5370579290&sid=search,BRL 309.43,N/A,Sem desconto,Park Ecom,1301646661,5_green,platinum,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,Unidades por embalagem: 1. | Conteúdo total em volume: 8 mL. | Cor da tinta: Preto e Color. | Unidades por kit: 2. | Formato de venda: Kit. | Cartucho do tipo original. | É recarregável. | Tinta pigmentada. | Rende 480 páginas.,,"Marca: HP; Linha: DeskJet; Modelo: 667 XL 2376 667XL 2776 2774; Modelo alfanumérico: 3YM81AB, 3YM80AL; Tipo de cartucho: Original; Conteúdo total em volume: 8 mL; Cor da tinta: Preto e Color; Tipo de tinta: Pigmentada; Rendimento de páginas: 480; É recarregável: Sim",Tipo de tinta: Pigmentada; Rendimento de páginas: 480; É recarregável: Sim,Sim,me2,Consultar no site,https://http2.mlstatic.com/D_Q_NP_2X_789780-MLA83447264888_042025-E.webp,"https://http2.mlstatic.com/D_NQ_NP_789780-MLA83447264888_042025-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MLB48152766,MLB48152766,HP,2025-09-29T14:53:55.676055,True,excelente,83.3,,0,0,0,0,,,,1000,Sim,Sim,30 dias,2025-09-29T14:53:27.789087,spider_scrapy,643090,200,0,28,produto_com_reviews
MLB22843608,Cartucho Hp 667 667xl Deskjet 2776 Preto,https://www.mercadolivre.com.br/cartucho-hp-667-667xl-deskjet-2776-preto/p/MLB22843608#polycard_client=search-nordic&search_layout=grid&position=4&type=product&tracking_id=8895e6f5-4e90-4638-8272-8bb5a298a335&wid=MLB3905774637&sid=search,BRL 106.51,R$ 129,Sem desconto,TC20240813115050,1942736273,5_green,platinum,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,Unidades por embalagem: 1. | Cartucho do tipo original. | Tinta pigmentada. | Rende 480 páginas.,,Marca: HP; Linha: DeskJet; Modelo: 667XL; Modelo alfanumérico: 3ym81al y 3ym80al; Tipo de cartucho: Original; Cor da tinta: Preto; Modelo detalhado: 3YM81AL; Tipo de tinta: Pigmentada; Rendimento de páginas: 480; É recarregável: Não,Modelo detalhado: 3YM81AL; Tipo de tinta: Pigmentada; Rendimento de páginas: 480; É recarregável: Não,Sim,me2,Consultar no site,https://http2.mlstatic.com/D_Q_NP_2X_743854-MLA93080857332_092025-E.webp,"https://http2.mlstatic.com/D_NQ_NP_743854-MLA93080857332_092025-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MLB22843608,MLB22843608,HP,2025-09-29T14:53:55.676055,True,excelente,83.3,,0,0,0,0,,,,10000,Sim,Sim,30 dias,2025-09-29T14:53:30.956714,spider_scrapy,669935,200,0,100,produto_com_reviews
MLB2038775193,Kit Cartuchos Hp 667 Preto Color 1275 2376 2775 2776 6476,https://www.mercadolivre.com.br/kit-cartuchos-hp-667-preto-color-1275-2376-2775-2776-6476/p/MLB2038775193#polycard_client=search-nordic&search_layout=grid&position=5&type=product&tracking_id=8895e6f5-4e90-4638-8272-8bb5a298a335&wid=MLB1807118313&sid=search,BRL 196.04,R$ 214,Sem desconto,LKF COMERCIO,35660674,5_green,platinum,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,"Acompanha - 1 Cartucho Preto 667 - 1 Cartucho Colorido 667 - Rendimento em Preto 120 paginas - Rendimento em Colorido 100 paginas - Tecnologia de impressão: Jato de Tinta - Capacidade/Rendimento: 2 ml cada Compatíveis com a nova geração de impressoras Deskjet Ink Advantage da HP, que contempla as impressoras: DESKJET INK ADVANTAGE 1275; DESKJET INK ADVANTAGE 2374; DESKJET INK ADVANTAGE 2375; DESKJET INK ADVANTAGE 2376; DESKJET INK ADVANTAGE 2774; DESKJET INK ADVANTAGE 2775; DESKJET INK ADVANTAGE 2776; DESKJET INK ADVANTAGE 2874; HP Deskjet Ink Advantage Plus 6475; HP Deskjet Ink Advantage Plus 6476. Produto novo, 100% Original, lacrado, com nota fiscal, envio rápido.",,Marca: HP; Modelo: Impressoras 2774 2874 2374 2375 6475; Modelo alfanumérico: 667XL; Tipo de cartucho: Original; Conteúdo total em volume: 4 mL; Cor da tinta: Preto e Colorido; Tipo de tinta: Corante; Rendimento de páginas: 220; É recarregável: Não,Tipo de tinta: Corante; Rendimento de páginas: 220; É recarregável: Não,Sim,me2,Consultar no site,https://http2.mlstatic.com/D_Q_NP_2X_656223-MLB75934706741_042024-E.webp,"https://http2.mlstatic.com/D_NQ_NP_656223-MLB75934706741_042024-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MLB2038775193,MLB2038775193,HP,2025-09-29T14:53:55.676055,True,excelente,83.3,,0,0,0,0,,,,1000,Sim,Sim,30 dias,2025-09-29T14:53:33.086748,spider_scrapy,626170,200,0,15,produto_com_reviews
MLB2039528208,Mega Oferta !!! Kit Com 2 Cart. Hp Original 667xl Preto !!!,https://www.mercadolivre.com.br/kit-2-cartucho-tinta-667xl-preto-entrega-gratis-deskjet-2776/p/MLB2039528208#polycard_client=search-nordic&search_layout=grid&position=6&type=product&tracking_id=8895e6f5-4e90-4638-8272-8bb5a298a335&wid=MLB5065496774&sid=search,BRL 192.42,R$ 239,Sem desconto,TC20240813115050,1942736273,5_green,platinum,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,"Características do Produto : Imprima seus documentos todos os dias com alta qualidade garantida a um preço acessível com cartuchos de tinta HP originais de baixo custo, projetados com proteção contra fraude e alertas de pouca tinta o que lhe oferece um desempenho sem preocupações e resultados consistentes. Especificações : Cartucho HP 667XL preto Rendimento: Até 480 páginas cada Compatibilidade Serie Deskjet Ink Advantage 2300 - Deskjet Ink Advantage 2374 - Deskjet Ink Advantage 2375 - Deskjet Ink Advantage 2376 Serie Deskjet Ink Advantage 2700 - Deskjet Ink Advantage 2774 - Deskjet Ink Advantage 2775 - Deskjet Ink Advantage 2776 - Deskjet Ink Advantage 2777 - Deskjet Ink Advantage 2874 Serie DeskJet Plus Ink Advantage série 6000 Serie DeskJet Plus Ink Advantage série 6400 Serie Deskjet Ink Advantage 1200 Serie DeskJet Ink Advantage 4100",,"Marca: HP; Modelo: kit hp 667xl; Tipo de cartucho: Original; Conteúdo total em volume: 8,5 mL; Cor da tinta: Preto; É kit: Sim",É kit: Sim,Sim,me2,6-6 dias úteis,https://http2.mlstatic.com/D_Q_NP_2X_802198-MLB83733646986_042025-E.webp,"https://http2.mlstatic.com/D_NQ_NP_647492-MLB79301087913_092024-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MLB2039528208,MLB2039528208,HP,2025-09-29T14:53:55.676055,True,excelente,83.3,,0,0,0,0,,,,1000,Sim,Sim,30 dias,2025-09-29T14:53:36.516292,spider_scrapy,919401,200,0,23,produto_com_reviews
MLB36869988,Cartucho Hp 667xl Colorido (3ym80ab),https://www.mercadolivre.com.br/cartucho-hp-667xl-colorido-3ym80ab/p/MLB36869988#polycard_client=search-nordic&search_layout=grid&position=7&type=product&tracking_id=8895e6f5-4e90-4638-8272-8bb5a298a335&wid=MLB5742428714&sid=search,BRL 145.87,R$ 179,Sem desconto,Mercado Livre,480263032,5_green,platinum,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,Unidades por embalagem: 1. | Conteúdo total em volume: 8.5 mL. | Cor da tinta: Colorido. | Unidades por kit: 1. | Formato de venda: Unidade. | Cartucho do tipo original. | Tinta pigmentada. | Rende 300 páginas.,,"Marca: HP; Modelo: 667XL; Tipo de cartucho: Original; Conteúdo total em volume: 8,5 mL; Cor da tinta: Colorido; Modelo detalhado: F6V28AB; Tipo de tinta: Pigmentada; Rendimento de páginas: 300; É recarregável: Não",Modelo detalhado: F6V28AB; Tipo de tinta: Pigmentada; Rendimento de páginas: 300; É recarregável: Não,Sim,me2,Consultar no site,https://http2.mlstatic.com/D_Q_NP_2X_854288-MLA93653988441_092025-E.webp,"https://http2.mlstatic.com/D_NQ_NP_854288-MLA93653988441_092025-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MLB36869988,MLB36869988,HP,2025-09-29T14:53:55.676055,True,excelente,83.3,,0,0,0,0,,,,100,Sim,Sim,30 dias,2025-09-29T14:53:39.664084,spider_scrapy,572704,200,0,0,produto_com_reviews
