id,titulo,link,preco,preco_original,desconto,vendedor,seller_id,reputation_level,power_seller_status,rating_medio,total_reviews,rating_5_estrelas,rating_4_estrelas,rating_3_estrelas,rating_2_estrelas,rating_1_estrela,tem_reviews,reviews_com_texto,reviews_com_imagens,avaliacoes_positivas,avaliacoes_negativas,avaliacoes_neutras,marca,condicao,descricao_produto,caracteristicas_principais,frete_gratis,shipping_mode,tempo_entrega,imagem_url,fotos_produto,product_id,sku,brand,data_coleta,tem_dados_detalhados,qualidade_extracao_detalhada,score_qualidade_detalhes,comentarios_reviews,total_comentarios,comentarios_positivos,comentarios_negativos,comentarios_com_imagens,comentario_mais_curtido,comentario_mais_recente,vendas_loja,vendas_produto,devolucao_gratis,compra_garantida,tempo_garantia,timestamp_extracao_detalhada,metodo_extracao_detalhada,tamanho_resposta_bytes,status_resposta_http
MLB36772792,Cartucho De Tinta Hp 662 Preto Advantage,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-662-preto-advantage/p/MLB36772792#polycard_client=search-nordic&search_layout=grid&position=13&type=product&tracking_id=adcafe7d-99ef-4686-8b18-c71a01cf585a&wid=MLB3888681729&sid=search,"R$ 64,68",R$ 71,,HP,,,,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,,,True,,,N/A (imagens desabilitadas),,,,,2025-09-29T13:08:07.599350,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
MLB22288344,"Cartucho Hp 664xl Preto 664xl Original Hp Deskjet 1115, 2136",https://www.mercadolivre.com.br/cartucho-hp-664xl-preto-664xl-original-hp-deskjet-1115-2136/p/MLB22288344#polycard_client=search-nordic&search_layout=grid&position=14&type=product&tracking_id=adcafe7d-99ef-4686-8b18-c71a01cf585a&wid=MLB4115042835&sid=search,R$ 125,R$ 198,,N/A,,,,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,,,False,,,N/A (imagens desabilitadas),,,,,2025-09-29T13:08:07.599350,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
MLB44336841,Kit Cartucho De Tinta Hp 662 Preto E 622 Colorido,https://www.mercadolivre.com.br/kit-cartucho-de-tinta-hp-662-preto-e-622-colorido/p/MLB44336841#polycard_client=search-nordic&search_layout=grid&position=15&type=product&tracking_id=adcafe7d-99ef-4686-8b18-c71a01cf585a&wid=MLB5244722402&sid=search,R$ 182,N/A,,N/A,,,,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,,,True,,,N/A (imagens desabilitadas),,,,,2025-09-29T13:08:07.599350,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
MLB47914809,3 Cartuchos Hp 664xl Preto 1 Color Genuíno,https://www.mercadolivre.com.br/3-cartuchos-hp-664xl-preto-1-color-genuino/p/MLB47914809#polycard_client=search-nordic&search_layout=grid&position=16&type=product&tracking_id=adcafe7d-99ef-4686-8b18-c71a01cf585a&wid=MLB5350029660&sid=search,"R$ 495,50",N/A,,Park Ecom,,,,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,,,False,,,N/A (imagens desabilitadas),,,,,2025-09-29T13:08:07.599350,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
MLB2039342702,Kit 02 Cartucho 664xl Preto 664 Xl Original Hp E Lacrado,https://www.mercadolivre.com.br/kit-cartucho-de-tinta-664xl-bk-e-color-novo-original/p/MLB2039342702#polycard_client=search-nordic&search_layout=grid&position=17&type=product&tracking_id=adcafe7d-99ef-4686-8b18-c71a01cf585a&wid=MLB3208174446&sid=search,"R$ 193,03",R$ 215,,Park Ecom,,,,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,,,False,,,N/A (imagens desabilitadas),,,,,2025-09-29T13:08:07.599350,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
MLB47973601,Cartucho Hp 664xl Color 664 Xl Hp E,https://www.mercadolivre.com.br/cartucho-hp-664xl-color-664-xl-hp-e/p/MLB47973601#polycard_client=search-nordic&search_layout=grid&position=18&type=product&tracking_id=adcafe7d-99ef-4686-8b18-c71a01cf585a&wid=MLB5350029784&sid=search,"R$ 112,52",N/A,,Park Ecom,,,,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,,,False,,,N/A (imagens desabilitadas),,,,,2025-09-29T13:08:07.599350,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
N/A,Cartucho Hp 664 Preto Original F6v29ab - 2136 2676 3776 5076,https://www.mercadolivre.com.br/cartucho-hp-664-preto-original-f6v29ab--2136-2676-3776-5076/up/MLBU748382500#polycard_client=search-nordic&search_layout=grid&position=19&type=product&tracking_id=adcafe7d-99ef-4686-8b18-c71a01cf585a&wid=MLB2045952880&sid=search,"R$ 64,90",N/A,,N/A,,,,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,,,True,,,N/A (imagens desabilitadas),,,,,2025-09-29T13:08:07.599350,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
MLB36768292,Cartucho De Tinta Hp 664 Preto,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-664-preto/p/MLB36768292#polycard_client=search-nordic&search_layout=grid&position=20&type=product&tracking_id=adcafe7d-99ef-4686-8b18-c71a01cf585a&wid=MLB4678660474&sid=search,"R$ 143,90",N/A,,N/A,,,,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,,,False,,,N/A (imagens desabilitadas),,,,,2025-09-29T13:08:07.599350,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
MLB36769417,Cartucho de tinta preto e tricolor HP 664 de 2 ml 2 unidades,https://www.mercadolivre.com.br/cartucho-de-tinta-preto-e-tricolor-hp-664-de-2-ml-2-unidades/p/MLB36769417#polycard_client=search-nordic&search_layout=grid&position=21&type=product&tracking_id=adcafe7d-99ef-4686-8b18-c71a01cf585a&wid=MLB4215398017&sid=search,"R$ 139,90",N/A,,N/A,,,,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,,,False,,,N/A (imagens desabilitadas),,,,,2025-09-29T13:08:07.599350,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
MLB36751101,Cartucho de tinta HP 664xl Tricolor 8ml,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-664xl-tricolor-8ml/p/MLB36751101#polycard_client=search-nordic&search_layout=grid&position=22&type=product&tracking_id=adcafe7d-99ef-4686-8b18-c71a01cf585a&wid=MLB3708297175&sid=search,R$ 114,N/A,,Park Ecom,,,,0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,,,False,,,N/A (imagens desabilitadas),,,,,2025-09-29T13:08:07.599350,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
