id,titulo,preco,preco_original,desconto,vendedor,reputacao_vendedor,condicao,frete_gratis,link,imagem_url,localizacao,vendas,media_avaliacoes,total_avaliacoes,entrega,marca,data_coleta,nome_produto_detalhado,condicao_produto_detalhada,descricao_produto,preco_detalhado,desconto_detalhado,frete_gratis_detalhado,tempo_entrega,nome_loja,vendas_loja,vendas_produto,devolucao_gratis,compra_garantida,tempo_garantia,caracteristicas_principais,fotos_produto,avaliacao,outros_dados,timestamp_extracao_detalhada,tem_dados_detalhados,total_reviews,rating_medio,rating_5_estrelas,rating_4_estrelas,rating_3_estrelas,rating_2_estrelas,rating_1_estrela,tem_reviews
MLB36772792,Cartucho De Tinta Hp 662 Preto Advantage,"R$ 66,99",R$ 77,,Eshop,,,True,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-662-preto-advantage/p/MLB36772792#polycard_client=search-nordic&search_layout=grid&position=3&type=product&tracking_id=1ebe9756-f58a-403d-917a-f349e5ad3608&wid=MLB3929057435&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_851261-MLA84846526119_052025-E.webp,,,4.7,1755,Frete grátis,N/A,2025-09-26T21:35:34.596374,,,,,,,,,,,,,,,,,,,False,0,0,0,0,0,0,0,False
MLB39134548,Kit Cartucho Hp 662 Preto E Colorido,R$ 159,N/A,,N/A,,,True,https://www.mercadolivre.com.br/kit-cartucho-hp-662-preto-e-colorido/p/MLB39134548#polycard_client=search-nordic&search_layout=grid&position=4&type=product&tracking_id=1ebe9756-f58a-403d-917a-f349e5ad3608&wid=MLB5157747842&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_996834-MLA92902805222_092025-E.webp,,,4.6,160,Chegará grátis amanhã sábado,N/A,2025-09-26T21:35:34.596374,,,,,,,,,,,,,,,,,,,False,0,0,0,0,0,0,0,False
MLB37141763,Cartucho De Tinta Hp 667 Cor Preto Do 2 Ml,"R$ 63,90",N/A,,N/A,,,True,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-667-cor-preto-do-2-ml/p/MLB37141763#polycard_client=search-nordic&search_layout=grid&position=5&type=product&tracking_id=1ebe9756-f58a-403d-917a-f349e5ad3608&wid=MLB3713375243&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_886903-MLA87439311815_072025-E.webp,,,4.8,7399,Frete grátis,N/A,2025-09-26T21:35:34.596374,,,,,,,,,,,,,,,,,,,False,0,0,0,0,0,0,0,False
