id,titulo,link,preco,preco_original,desconto,vendedor,seller_id,reputation_level,power_seller_status,rating_medio,total_reviews,rating_5_estrelas,rating_4_estrelas,rating_3_estrelas,rating_2_estrelas,rating_1_estrela,tem_reviews,reviews_com_texto,reviews_com_imagens,avaliacoes_positivas,avaliacoes_negativas,avaliacoes_neutras,marca,condicao,descricao_produto,caracteristicas_principais,frete_gratis,shipping_mode,tempo_entrega,imagem_url,fotos_produto,product_id,sku,brand,data_coleta,tem_dados_detalhados,qualidade_extracao_detalhada,score_qualidade_detalhes,comentarios_reviews,total_comentarios,comentarios_positivos,comentarios_negativos,comentarios_com_imagens,comentario_mais_curtido,comentario_mais_recente,vendas_loja,vendas_produto,devolucao_gratis,compra_garantida,tempo_garantia,timestamp_extracao_detalhada,metodo_extracao_detalhada,tamanho_resposta_bytes,status_resposta_http
MLB37141763,Cartucho De Tinta Hp 667 Cor Preto Do 2 Ml,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-667-cor-preto-do-2-ml/p/MLB37141763#polycard_client=search-nordic&search_layout=grid&position=3&type=product&tracking_id=7a67cbb8-a88a-41a2-9fa9-b6ff9bcc1420&wid=MLB4164477091&sid=search,"R$ 64,22",R$ 71,,N/A,,,,4.8,7473,5233,1868,224,74,74,True,0,0,7101,148,224,N/A,Novo,,,True,,,https://http2.mlstatic.com/D_Q_NP_2X_886903-MLA87439311815_072025-E.webp,,,,,2025-09-29T12:40:58.786559,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
MLB36751629,Cartucho de tinta preta HP Advantage 664 de 2 ml,https://www.mercadolivre.com.br/cartucho-de-tinta-preta-hp-advantage-664-de-2-ml/p/MLB36751629#polycard_client=search-nordic&search_layout=grid&position=4&type=product&tracking_id=7a67cbb8-a88a-41a2-9fa9-b6ff9bcc1420&wid=MLB4198173329&sid=search,"R$ 65,73",R$ 78,,Eshop,,,,4.7,4963,3477,1240,148,49,49,True,0,0,4717,98,148,N/A,Novo,,,True,,,https://http2.mlstatic.com/D_Q_NP_2X_859652-MLA93093237434_092025-E.webp,,,,,2025-09-29T12:40:58.786559,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
MLB43544566,Cartucho De Tinta Hp 664xl Preto F6v31ab,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-664xl-preto-f6v31ab/p/MLB43544566#polycard_client=search-nordic&search_layout=grid&position=5&type=product&tracking_id=7a67cbb8-a88a-41a2-9fa9-b6ff9bcc1420&wid=MLB5575638530&sid=search,"R$ 121,40",R$ 189,,N/A,,,,4.8,24,18,6,0,0,0,True,0,0,24,0,0,N/A,Novo,,,False,,,https://http2.mlstatic.com/D_Q_NP_2X_734097-MLA80620713520_112024-E.webp,,,,,2025-09-29T12:40:58.786559,False,nao_realizada,0,,0,0,0,0,,,,,,,,,nao_realizada,0,0
